date,dow,entry_time,entry_num,option_type,short_strike,long_strike,credit,settle,short_bid,short_ask,long_bid,long_ask,spot,spx_exit,qty,width,commission,pnl
20220105,2,15:57:00,2,CALL,4715,4725,0.2,0.0,0.25,0.3,0.0,0.05,4706.31,4700.67,15,10,30.0,270.0
20220107,4,15:55:00,1,PUT,4670,4660,0.15,0.0,0.2,0.35,0.0,0.05,4680.34,4677.02,15,10,30.0,195.0
20220110,0,15:57:00,2,PUT,4655,4645,0.15,0.0,0.2,0.35,0.0,0.05,4664.26,4670.29,15,10,30.0,195.0
20220114,4,15:55:00,1,CALL,4675,4685,0.15,0.0,0.2,0.35,0.0,0.05,4663.47,4662.82,15,10,30.0,195.0
20220114,4,15:57:00,2,PUT,4655,4645,0.15,0.0,0.2,0.3,0.0,0.05,4663.91,4662.82,15,10,30.0,195.0
20220118,1,15:55:00,1,CALL,4585,4595,0.1,0.0,0.2,0.3,0.0,0.1,4569.34,4577.34,15,10,30.0,120.0
20220118,1,15:57:00,2,PUT,4565,4555,0.35,0.0,0.45,0.55,0.05,0.1,4573.38,4577.34,15,10,30.0,495.0
20220121,4,15:55:00,1,CALL,4410,4420,0.65,0.0,1.0,1.35,0.15,0.35,4398.74,4397.73,15,10,30.0,945.0
20220121,4,15:57:00,2,PUT,4385,4375,0.15,0.0,0.2,0.3,0.0,0.05,4397.46,4397.73,15,10,30.0,195.0
20220126,2,15:55:00,1,CALL,4370,4380,0.55,0.0,1.0,2.05,0.25,0.45,4354.82,4349.78,15,10,30.0,795.0
20220126,2,15:57:00,2,CALL,4350,4360,0.9,0.0,1.35,1.8,0.4,0.45,4340.16,4349.78,15,10,30.0,1320.0
20220128,4,15:55:00,1,PUT,4410,4400,0.4,0.0,0.65,1.0,0.15,0.25,4420.86,4432.0,15,10,30.0,570.0
20220128,4,15:57:00,2,CALL,4435,4445,0.35,0.0,0.5,0.75,0.05,0.15,4425.48,4432.0,15,10,30.0,495.0
20220207,0,15:55:00,1,PUT,4460,4450,0.2,0.0,0.3,0.5,0.0,0.1,4474.05,4483.92,15,10,30.0,270.0
20220207,0,15:57:00,2,PUT,4465,4455,0.3,0.0,0.4,0.6,0.0,0.1,4475.31,4483.92,15,10,30.0,420.0
20220222,1,15:55:00,1,CALL,4305,4315,0.35,0.0,0.5,0.8,0.05,0.15,4292.45,4304.66,15,10,30.0,495.0
20220222,1,15:57:00,2,PUT,4290,4280,0.7,0.0,0.8,1.05,0.05,0.1,4298.15,4304.66,15,10,30.0,1020.0
20220223,2,15:57:00,2,CALL,4230,4240,0.25,0.0,0.35,0.65,0.05,0.1,4223.36,4225.62,15,10,30.0,345.0
20220225,4,15:55:00,1,PUT,4370,4360,0.3,0.0,0.4,0.7,0.0,0.1,4381.4,4384.62,15,10,30.0,420.0
20220304,4,15:55:00,1,PUT,4315,4305,0.25,0.0,0.55,0.85,0.15,0.3,4325.56,4328.87,15,10,30.0,345.0
20220304,4,15:57:00,2,PUT,4315,4305,0.15,0.0,0.25,0.3,0.05,0.1,4327.57,4328.87,15,10,30.0,195.0
20220307,0,15:55:00,1,CALL,4215,4225,0.3,0.0,0.35,0.55,0.0,0.05,4201.06,4200.89,15,10,30.0,420.0
20220307,0,15:57:00,2,PUT,4195,4185,0.4,0.0,0.5,0.7,0.0,0.1,4203.94,4200.89,15,10,30.0,570.0
20220309,2,15:55:00,1,CALL,4295,4305,0.2,0.0,0.3,0.45,0.05,0.1,4281.16,4277.86,15,10,30.0,270.0
20220309,2,15:57:00,2,CALL,4280,4290,0.75,0.0,0.9,1.15,0.05,0.15,4273.44,4277.86,15,10,30.0,1095.0
20220311,4,15:55:00,1,PUT,4195,4185,0.25,0.0,0.4,0.45,0.05,0.15,4207.48,4204.36,15,10,30.0,345.0
20220311,4,15:57:00,2,PUT,4200,4190,0.2,0.0,0.3,0.4,0.05,0.1,4209.95,4204.36,15,10,30.0,270.0
20220314,0,15:55:00,1,CALL,4180,4190,0.2,0.0,0.25,0.4,0.0,0.05,4167.89,4173.06,15,10,30.0,270.0
20220314,0,15:57:00,2,PUT,4165,4155,0.15,0.0,0.2,0.3,0.0,0.05,4174.69,4173.06,15,10,30.0,195.0
20220318,4,15:55:00,1,PUT,4450,4440,0.25,0.0,0.35,0.5,0.05,0.1,4460.3,4463.08,15,10,30.0,345.0
20220318,4,15:57:00,2,PUT,4455,4445,0.1,0.0,0.2,0.4,0.05,0.1,4463.63,4463.08,15,10,30.0,120.0
20220323,2,15:57:00,2,CALL,4470,4480,0.25,0.0,0.3,0.4,0.0,0.05,4460.74,4456.12,15,10,30.0,345.0
20220330,2,15:57:00,2,CALL,4605,4615,0.15,0.0,0.2,0.25,0.0,0.05,4594.92,4602.49,15,10,30.0,195.0
20220331,3,15:55:00,1,PUT,4530,4520,0.5,0.0,0.7,0.9,0.15,0.2,4545.94,4530.5,15,10,30.0,720.0
20220406,2,15:55:00,1,CALL,4495,4505,0.35,0.0,0.4,0.5,0.0,0.05,4481.19,4481.26,15,10,30.0,495.0
20220406,2,15:57:00,2,CALL,4490,4500,0.95,0.0,1.0,1.15,0.0,0.05,4483.44,4481.26,15,10,30.0,1395.0
20220408,4,15:55:00,1,PUT,4475,4465,0.25,0.0,0.35,0.5,0.0,0.1,4486.6,4488.68,15,10,30.0,345.0
20220408,4,15:57:00,2,PUT,4475,4465,0.15,0.0,0.2,0.3,0.0,0.05,4485.09,4488.68,15,10,30.0,195.0
20220422,4,15:55:00,1,PUT,4265,4255,0.5,0.0,0.75,1.05,0.1,0.25,4277.15,4271.94,15,10,30.0,720.0
20220422,4,15:57:00,2,PUT,4265,4255,0.2,0.0,0.3,0.45,0.0,0.1,4277.54,4271.94,15,10,30.0,270.0
20220426,1,15:55:00,1,PUT,4170,4160,0.25,0.0,0.35,0.5,0.0,0.1,4183.47,4175.2,15,10,30.0,345.0
20220426,1,15:57:00,2,PUT,4170,4160,0.25,0.0,0.35,0.6,0.0,0.1,4179.81,4175.2,15,10,30.0,345.0
20220503,1,15:55:00,1,PUT,4160,4150,0.15,0.0,0.2,0.25,0.0,0.05,4178.4,4175.27,15,10,30.0,195.0
20220504,2,15:55:00,1,CALL,4315,4325,0.15,0.0,0.25,0.45,0.0,0.1,4300.18,4300.39,15,10,30.0,195.0
20220504,2,15:57:00,2,CALL,4305,4315,0.5,0.0,0.6,0.95,0.0,0.1,4298.11,4300.39,15,10,30.0,720.0
20220509,0,15:55:00,1,CALL,3995,4005,0.75,0.0,1.05,1.35,0.15,0.3,3982.28,3991.36,15,10,30.0,1095.0
20220509,0,15:57:00,2,PUT,3985,3975,0.65,0.0,0.9,1.15,0.15,0.25,3994.32,3991.36,15,10,30.0,945.0
20220511,2,15:57:00,2,CALL,3940,3950,0.3,0.0,0.4,0.65,0.05,0.1,3931.33,3935.25,15,10,30.0,420.0
20220513,4,15:55:00,1,PUT,4005,3995,0.45,0.0,0.6,0.85,0.05,0.15,4017.5,4023.86,15,10,30.0,645.0
20220513,4,15:57:00,2,PUT,4005,3995,0.3,0.0,0.4,0.45,0.05,0.1,4017.13,4023.86,15,10,30.0,420.0
20220517,1,15:51:00,1,CALL,4095,4105,0.25,0.0,0.3,0.35,0.0,0.05,4080.55,4088.93,15,10,30.0,345.0
20220520,4,15:55:00,1,PUT,3885,3875,0.6,0.0,0.85,1.1,0.1,0.25,3895.23,3901.37,15,10,30.0,870.0
20220520,4,15:57:00,2,PUT,3890,3880,0.55,0.0,0.65,0.9,0.05,0.1,3898.26,3901.37,15,10,30.0,795.0
20220525,2,15:57:00,2,CALL,3985,3995,0.2,0.0,0.25,0.45,0.0,0.05,3978.33,3979.0,15,10,30.0,270.0
20220601,2,15:57:00,2,CALL,4110,4120,0.25,0.0,0.35,0.45,0.0,0.1,4103.78,4101.18,15,10,30.0,345.0
20220607,1,15:51:00,1,PUT,4150,4140,0.15,0.0,0.2,0.25,0.0,0.05,4162.02,4160.54,15,10,30.0,195.0
20220615,2,15:55:00,1,CALL,3800,3810,0.35,0.0,0.6,0.85,0.2,0.25,3787.9,3789.91,15,10,30.0,495.0
20220615,2,15:57:00,2,CALL,3800,3810,0.55,0.0,0.75,1.0,0.15,0.2,3792.22,3789.91,15,10,30.0,795.0
20220621,1,15:51:00,1,PUT,3760,3750,0.15,0.0,0.25,0.3,0.05,0.1,3772.06,3764.84,15,10,30.0,195.0
20220628,1,15:51:00,1,PUT,3810,3800,0.25,0.0,0.35,0.4,0.05,0.1,3823.19,3821.74,15,10,30.0,345.0
20220630,3,15:55:00,1,CALL,3790,3800,0.1,0.0,0.25,0.4,0.05,0.15,3771.72,3786.03,15,10,30.0,120.0
20220712,1,15:57:00,2,PUT,3810,3800,0.15,0.0,0.2,0.3,0.0,0.05,3818.18,3819.14,15,10,30.0,195.0
20220713,2,15:57:00,2,CALL,3815,3825,0.2,0.0,0.25,0.45,0.0,0.05,3808.29,3801.59,15,10,30.0,270.0
20220727,2,15:57:00,2,CALL,4035,4045,0.2,0.0,0.25,0.35,0.0,0.05,4027.68,4023.32,15,10,30.0,270.0
20220831,2,15:57:00,2,CALL,3970,3980,0.1,0.0,0.2,0.35,0.05,0.1,3963.01,3955.02,15,10,30.0,120.0
20220902,4,15:55:00,1,PUT,3910,3900,0.1,0.0,0.2,0.3,0.05,0.1,3922.84,3924.41,15,10,30.0,120.0
20220906,1,15:51:00,1,PUT,3895,3885,0.15,0.0,0.25,0.35,0.0,0.1,3909.6,3908.55,15,10,30.0,195.0
20220913,1,15:51:00,1,CALL,3945,3955,0.35,0.0,0.55,0.65,0.1,0.2,3931.55,3932.63,15,10,30.0,495.0
20220913,1,15:57:00,2,PUT,3930,3920,0.45,0.0,0.55,0.7,0.05,0.1,3938.56,3932.63,15,10,30.0,645.0
20220916,4,15:55:00,1,CALL,3885,3895,0.15,0.0,0.2,0.3,0.0,0.05,3872.86,3873.44,15,10,30.0,195.0
20220916,4,15:57:00,2,PUT,3865,3855,0.15,0.0,0.2,0.3,0.0,0.05,3873.37,3873.44,15,10,30.0,195.0
20220920,1,15:51:00,1,PUT,3850,3840,0.2,0.0,0.25,0.35,0.0,0.05,3862.39,3856.04,15,10,30.0,270.0
20220921,2,15:57:00,2,CALL,3805,3815,0.3,0.0,0.35,0.5,0.0,0.05,3796.55,3789.82,15,10,30.0,420.0
20220923,4,15:55:00,1,PUT,3680,3670,0.25,0.0,0.4,0.5,0.1,0.15,3690.81,3693.49,15,10,30.0,345.0
20220923,4,15:57:00,2,CALL,3695,3705,0.2,0.0,0.25,0.35,0.0,0.05,3684.96,3693.49,15,10,30.0,270.0
20220927,1,15:55:00,1,PUT,3635,3625,0.15,0.0,0.25,0.3,0.05,0.1,3651.94,3647.6,15,10,30.0,195.0
20220928,2,15:57:00,2,CALL,3735,3745,0.35,0.0,0.4,0.45,0.0,0.05,3728.28,3718.67,15,10,30.0,495.0
20221003,0,15:51:00,1,CALL,3695,3705,0.25,0.0,0.3,0.4,0.0,0.05,3682.5,3678.43,15,10,30.0,345.0
20221007,4,15:55:00,1,PUT,3625,3615,0.25,0.0,0.35,0.45,0.0,0.1,3637.87,3639.84,15,10,30.0,345.0
20221019,2,15:57:00,2,CALL,3700,3710,0.2,0.0,0.25,0.35,0.0,0.05,3693.69,3695.47,15,10,30.0,270.0
20221102,2,15:55:00,1,CALL,3775,3785,0.15,0.0,0.2,0.3,0.0,0.05,3762.92,3759.48,15,10,30.0,195.0
20221109,2,15:57:00,2,CALL,3755,3765,0.2,0.0,0.25,0.3,0.0,0.05,3748.53,3748.67,15,10,30.0,270.0
20230201,2,15:55:00,1,CALL,4130,4140,0.2,0.0,0.3,0.35,0.05,0.1,4115.66,4119.49,15,10,30.0,270.0
20230201,2,15:57:00,2,CALL,4125,4135,0.25,0.0,0.35,0.4,0.0,0.1,4116.18,4119.49,15,10,30.0,345.0
20230313,0,15:55:00,1,PUT,3845,3835,0.15,0.0,0.25,0.35,0.05,0.1,3860.02,3855.74,15,10,30.0,195.0
20230313,0,15:57:00,2,PUT,3845,3835,0.15,0.0,0.25,0.35,0.0,0.1,3855.76,3855.74,15,10,30.0,195.0
20230322,2,15:55:00,1,CALL,3965,3975,0.35,0.0,0.45,0.55,0.05,0.1,3951.76,3936.82,15,10,30.0,495.0
20230322,2,15:57:00,2,CALL,3960,3970,0.3,0.0,0.35,0.45,0.0,0.05,3950.11,3936.82,15,10,30.0,420.0
20230929,4,15:55:00,1,CALL,4305,4315,0.2,0.0,0.25,0.3,0.0,0.05,4293.71,4288.24,15,10,30.0,270.0
20230929,4,15:57:00,2,PUT,4275,4265,0.25,0.0,0.35,0.4,0.05,0.1,4285.24,4288.24,15,10,30.0,345.0
20240308,4,15:55:00,1,PUT,5120,5110,0.1,0.0,0.2,0.25,0.05,0.1,5130.11,5123.71,15,10,30.0,120.0
20240410,2,15:57:00,2,CALL,5170,5180,0.35,0.0,0.45,0.5,0.05,0.1,5163.55,5160.57,15,10,30.0,495.0
20240415,0,15:51:00,1,CALL,5080,5090,0.3,0.0,0.45,0.5,0.1,0.15,5066.57,5061.82,15,10,30.0,420.0
20240416,1,15:51:00,1,PUT,5050,5040,0.15,0.0,0.3,0.35,0.1,0.15,5064.01,5051.33,15,10,30.0,195.0
20240419,4,15:55:00,1,PUT,4955,4945,0.2,0.0,0.3,0.4,0.05,0.1,4966.06,4967.26,15,10,30.0,270.0
20240422,0,15:51:00,1,PUT,5000,4990,0.1,0.0,0.2,0.25,0.05,0.1,5012.13,5010.61,15,10,30.0,120.0
20240531,4,15:55:00,1,PUT,5255,5245,0.25,0.0,0.4,0.5,0.05,0.15,5266.41,5277.8,15,10,30.0,345.0
20240531,4,15:57:00,2,PUT,5265,5255,0.2,0.0,0.3,0.35,0.05,0.1,5273.82,5277.8,15,10,30.0,270.0
20240604,1,15:51:00,1,PUT,5275,5265,0.15,0.0,0.25,0.3,0.05,0.1,5290.59,5291.32,15,10,30.0,195.0
