iteration,timestamp,idea,entry_time,direction,width,otm_distance,interval,filters,qty,num_trades,win_rate,total_pnl,max_drawdown,sharpe,calmar,profit_factor,avg_win,avg_loss,max_single_loss,verdict,notes
1,2026-04-03 07:47:28,entry_time_sweep_09:35:00,09:35:00,always_put,10.0,10.0,single,none,1,967,68.9,-30786.0,-31748.0,-1.18,-0.97,0.84,244.66,-643.61,-882.0,SWEEP,
2,2026-04-03 07:47:33,entry_time_sweep_10:00:00,10:00:00,always_put,10.0,10.0,single,none,1,850,69.6,-33753.0,-34728.0,-1.49,-0.97,0.8,226.41,-650.34,-902.0,SWEEP,
3,2026-04-03 07:47:38,entry_time_sweep_10:30:00,10:30:00,always_put,10.0,10.0,single,none,1,810,72.0,-17166.0,-19959.0,-0.82,-0.86,0.88,220.85,-642.83,-932.0,SWEEP,
4,2026-04-03 07:47:44,entry_time_sweep_11:00:00,11:00:00,always_put,10.0,10.0,single,none,1,761,74.0,-11812.0,-11934.0,-0.62,-0.99,0.91,208.96,-653.83,-977.0,SWEEP,
5,2026-04-03 07:47:49,entry_time_sweep_11:30:00,11:30:00,always_put,10.0,10.0,single,none,1,765,74.6,-5135.0,-9790.0,-0.28,-0.52,0.96,200.78,-617.43,-982.0,SWEEP,
6,2026-04-03 07:47:54,entry_time_sweep_12:00:00,12:00:00,always_put,10.0,10.0,single,none,1,743,75.8,-8721.0,-13408.0,-0.49,-0.65,0.92,190.16,-643.24,-942.0,SWEEP,
7,2026-04-03 07:47:59,entry_time_sweep_12:30:00,12:30:00,always_put,10.0,10.0,single,none,1,724,76.8,-9917.0,-11284.0,-0.58,-0.88,0.91,180.66,-656.93,-957.0,SWEEP,
8,2026-04-03 07:48:05,entry_time_sweep_13:00:00,13:00:00,always_put,10.0,10.0,single,none,1,713,76.6,-14294.0,-15864.0,-0.86,-0.9,0.87,171.09,-644.95,-957.0,SWEEP,
9,2026-04-03 07:48:10,entry_time_sweep_13:30:00,13:30:00,always_put,10.0,10.0,single,none,1,709,76.0,-16452.0,-16980.0,-1.03,-0.97,0.84,158.94,-600.7,-982.0,SWEEP,
10,2026-04-03 07:48:15,entry_time_sweep_14:00:00,14:00:00,always_put,10.0,10.0,single,none,1,686,79.7,-13134.0,-14642.0,-0.9,-0.9,0.85,136.29,-630.81,-962.0,SWEEP,
11,2026-04-03 07:48:20,entry_time_sweep_14:30:00,14:30:00,always_put,10.0,10.0,single,none,1,682,80.6,-16024.0,-16339.0,-1.17,-0.98,0.8,117.22,-609.83,-987.0,SWEEP,
12,2026-04-03 07:48:25,entry_time_sweep_15:00:00,15:00:00,always_put,10.0,10.0,single,none,1,664,82.8,-14312.0,-14881.0,-1.18,-0.96,0.78,92.7,-572.77,-997.0,SWEEP,
