date,entry_time,exit_time,spx_at_entry,spx_at_exit,short_strike,long_strike,qty,credit_received,spread_value_exit,pnl_earned,win,loss,equity_after,vix_level,indicator_value
20220103,15:55:00,16:00:00,4790.4,4796.59,4795,4800,6,0.9,1.59,-426.0,0,1,49574.0,16.6,vix1550=16.8
20220112,15:55:00,16:00:00,4728.94,4726.43,4735,4740,5,0.5,0.0,240.0,1,0,49814.0,17.62,vix1550=17.7
20220114,15:55:00,16:00:00,4661.05,4662.82,4665,4670,6,1.35,0.0,798.0,1,0,50612.0,19.19,vix1550=19.2
20220131,15:55:00,16:00:00,4512.29,4515.45,4520,4525,5,0.6,0.0,290.0,1,0,50902.0,24.83,vix1550=24.9
20220202,15:55:00,16:00:00,4593.98,4589.31,4600,4605,5,0.15,0.0,65.0,1,0,50967.0,22.09,vix1550=20.6
20220204,15:55:00,16:00:00,4509.16,4500.61,4515,4520,6,1.15,0.0,678.0,1,0,51645.0,23.22,vix1550=22.8
20220209,15:55:00,16:00:00,4582.46,4587.21,4590,4595,5,0.8,0.0,390.0,1,0,52035.0,19.96,vix1550=20.0
20220216,15:55:00,16:00:00,4478.26,4475.1,4485,4490,5,0.4,0.0,190.0,1,0,52225.0,24.29,vix1550=24.0
20220318,15:55:00,16:00:00,4463.14,4463.08,4470,4475,5,0.15,0.0,65.0,1,0,52290.0,23.87,vix1550=24.0
20220325,15:55:00,16:00:00,4536.34,4543.06,4540,4545,6,0.85,3.06,-1338.0,0,1,50952.0,20.81,vix1550=21.1
20220328,15:55:00,16:00:00,4567.14,4575.49,4575,4580,5,0.1,0.49,-205.0,0,1,50747.0,19.63,vix1550=20.0
20220401,15:55:00,16:00:00,4544.83,4545.8,4550,4555,5,0.25,0.0,115.0,1,0,50862.0,19.63,vix1550=19.8
20220404,15:55:00,16:00:00,4578.41,4582.62,4585,4590,5,0.5,0.0,240.0,1,0,51102.0,18.57,vix1550=18.7
20220413,15:55:00,16:00:00,4445.67,4446.67,4450,4455,5,0.65,0.0,315.0,1,0,51417.0,21.82,vix1550=21.6
20220527,15:55:00,16:00:00,4150.98,4158.27,4155,4160,5,0.3,3.27,-1495.0,0,1,49922.0,25.72,vix1550=25.8
20220707,15:55:00,16:00:00,3901.47,3902.43,3905,3910,5,0.65,0.0,315.0,1,0,50237.0,26.08,vix1550=25.8
20220708,15:55:00,16:00:00,3904.79,3899.37,3910,3915,5,0.15,0.0,65.0,1,0,50302.0,24.64,vix1550=24.7
20220719,15:55:00,16:00:00,3936.22,3936.14,3940,3945,5,0.2,0.0,90.0,1,0,50392.0,24.5,vix1550=24.6
20220720,15:55:00,16:00:00,3961.62,3959.95,3965,3970,5,0.35,0.0,165.0,1,0,50557.0,23.88,vix1550=23.7
20220721,15:55:00,16:00:00,3995.72,3999.1,4000,4005,5,0.35,0.0,165.0,1,0,50722.0,23.11,vix1550=23.1
20220728,15:55:00,16:00:00,4070.27,4072.17,4075,4080,5,0.3,0.0,140.0,1,0,50862.0,22.33,vix1550=22.4
20220729,15:55:00,16:00:00,4131.54,4130.44,4135,4140,6,1.0,0.0,588.0,1,0,51450.0,21.33,vix1550=21.5
20220801,15:55:00,16:00:00,4117.0,4118.62,4120,4125,5,0.7,0.0,340.0,1,0,51790.0,22.84,vix1550=22.9
20220803,15:55:00,16:00:00,4161.17,4155.12,4165,4170,6,0.9,0.0,528.0,1,0,52318.0,21.95,vix1550=21.8
20220815,15:55:00,16:00:00,4296.19,4297.14,4300,4305,5,0.2,0.0,90.0,1,0,52408.0,19.95,vix1550=20.0
20220816,15:55:00,16:00:00,4304.58,4305.24,4310,4315,5,0.65,0.0,315.0,1,0,52723.0,19.69,vix1550=19.6
20220818,15:55:00,16:00:00,4280.58,4284.15,4285,4290,5,0.3,0.0,140.0,1,0,52863.0,19.56,vix1550=19.5
20220829,15:55:00,16:00:00,4036.34,4030.76,4040,4045,5,0.75,0.0,365.0,1,0,53228.0,26.21,vix1550=26.0
20220907,15:55:00,16:00:00,3977.6,3979.99,3985,3990,6,1.05,0.0,618.0,1,0,53846.0,24.64,vix1550=24.6
20220909,15:55:00,16:00:00,4071.12,4067.41,4075,4080,6,0.95,0.0,558.0,1,0,54404.0,22.79,vix1550=22.9
20220919,15:55:00,16:00:00,3895.56,3900.0,3900,3905,6,1.1,0.0,648.0,1,0,55052.0,25.76,vix1550=25.9
20221028,15:55:00,16:00:00,3901.3,3901.04,3905,3910,6,1.0,0.0,588.0,1,0,55640.0,25.75,vix1550=25.9
20221107,15:55:00,16:00:00,3804.64,3807.13,3810,3815,5,0.55,0.0,265.0,1,0,55905.0,24.35,vix1550=24.5
20221108,15:55:00,16:00:00,3831.39,3828.31,3835,3840,6,1.15,0.0,678.0,1,0,56583.0,25.54,vix1550=25.1
20221111,15:55:00,16:00:00,3994.29,3993.05,4000,4005,6,0.95,0.0,558.0,1,0,57141.0,22.52,vix1550=22.4
20221123,15:55:00,16:00:00,4024.22,4027.46,4030,4035,5,0.15,0.0,65.0,1,0,57206.0,20.35,vix1550=20.5
20221202,15:55:00,16:00:00,4069.07,4071.63,4075,4080,5,0.15,0.0,65.0,1,0,57271.0,19.06,vix1550=19.1
20221220,15:55:00,16:00:00,3824.82,3821.73,3830,3835,5,0.2,0.0,90.0,1,0,57361.0,21.48,vix1550=21.5
20221229,15:55:00,16:00:00,3851.73,3849.14,3855,3860,5,0.5,0.0,240.0,1,0,57601.0,21.44,vix1550=21.4
20221230,15:55:00,16:00:00,3836.43,3839.53,3840,3845,5,0.55,0.0,265.0,1,0,57866.0,21.67,vix1550=21.7
20230106,15:55:00,16:00:00,3894.56,3895.0,3900,3905,5,0.25,0.0,115.0,1,0,57981.0,21.13,vix1550=21.0
20230112,15:55:00,16:00:00,3981.25,3983.09,3985,3990,5,0.15,0.0,65.0,1,0,58046.0,18.83,vix1550=19.0
20230120,15:55:00,16:00:00,3971.31,3972.35,3975,3980,5,0.15,0.0,65.0,1,0,58111.0,19.85,vix1550=19.6
20230127,15:55:00,16:00:00,4071.69,4070.48,4075,4080,6,0.85,0.0,498.0,1,0,58609.0,18.51,vix1550=18.3
20230131,15:55:00,16:00:00,4069.39,4076.7,4075,4080,5,0.5,1.7,-610.0,0,1,57999.0,19.4,vix1550=19.4
20230202,15:55:00,16:00:00,4173.92,4179.73,4180,4185,5,0.25,0.0,115.0,1,0,58114.0,18.73,vix1550=18.6
20230203,15:55:00,16:00:00,4137.8,4136.42,4145,4150,5,0.3,0.0,140.0,1,0,58254.0,18.33,vix1550=18.6
20230207,15:55:00,16:00:00,4168.54,4164.03,4175,4180,8,1.95,0.0,1544.0,1,0,59798.0,18.66,vix1550=18.5
20230210,15:55:00,16:00:00,4091.71,4090.48,4095,4100,5,0.65,0.0,315.0,1,0,60113.0,20.53,vix1550=20.6
20230214,15:55:00,16:00:00,4144.19,4136.18,4150,4155,5,0.15,0.0,65.0,1,0,60178.0,18.91,vix1550=18.6
20230215,15:55:00,16:00:00,4141.05,4147.76,4145,4150,5,0.15,2.76,-1315.0,0,1,58863.0,18.23,vix1550=18.2
20230228,15:55:00,16:00:00,3976.44,3969.69,3980,3985,5,0.4,0.0,190.0,1,0,59053.0,20.7,vix1550=20.5
