Symbol,Strategy,Side,Short Strike,Long Strike,Right,Date,Time,Status,Risk,P/L
SPX,Short Put Spread,PUT,"4,785","4,790",P,"Jan 3, 2022",3:54pm → 3:56pm,Touch,"$1,140",-$39
SPX,Short Put Spread,PUT,"4,705","4,710",P,"Jan 5, 2022",3:54pm → 3:56pm,Touch,"$1,215",-$201
SPX,Short Put Spread,PUT,"4,680","4,685",P,"Jan 7, 2022",3:54pm → 3:55pm,Touch,"$1,448",-$516
SPX,Short Put Spread,PUT,"4,650","4,655",P,"Jan 10, 2022",3:54pm → 4:00pm,Expired,"$1,143",$357
SPX,Short Put Spread,PUT,"4,725","4,730",P,"Jan 12, 2022",3:54pm → 3:55pm,Touch,"$1,191",-$141
SPX,Short Put Spread,PUT,"4,655","4,660",P,"Jan 14, 2022",3:54pm → 3:56pm,Touch,"$1,200",-$141
SPX,Short Put Spread,PUT,"4,570","4,575",P,"Jan 18, 2022",3:54pm → 3:55pm,Touch,"$1,288",-$508
SPX,Short Put Spread,PUT,"4,535","4,540",P,"Jan 19, 2022",3:54pm → 3:55pm,Touch,"$1,332",$48
SPX,Short Put Spread,PUT,"4,395","4,400",P,"Jan 21, 2022",3:54pm → 3:55pm,Touch,"$1,392",-$284
SPX,Short Put Spread,PUT,"4,395","4,400",P,"Jan 24, 2022",3:54pm → 4:00pm,Expired,"$1,300",$700
SPX,Short Put Spread,PUT,"4,330","4,335",P,"Jan 26, 2022",3:54pm → 4:00pm,Expired,"$1,475","$1,025"
SPX,Short Put Spread,PUT,"4,410","4,415",P,"Jan 28, 2022",3:54pm → 4:00pm,Expired,"$1,292",$708
SPX,Short Put Spread,PUT,"4,505","4,510",P,"Jan 31, 2022",3:54pm → 3:56pm,Touch,"$1,292",$156
SPX,Short Put Spread,PUT,"4,580","4,585",P,"Feb 2, 2022",3:54pm → 4:00pm,Expired,"$1,320",$680
SPX,Short Put Spread,PUT,"4,505","4,510",P,"Feb 4, 2022",3:54pm → 3:56pm,Touch,"$1,212",-$32
SPX,Short Put Spread,PUT,"4,470","4,475",P,"Feb 7, 2022",3:54pm → 3:55pm,Touch,"$1,308",-$280
SPX,Short Put Spread,PUT,"4,580","4,585",P,"Feb 9, 2022",3:54pm → 3:55pm,Touch,"$1,185",-$201
SPX,Short Put Spread,PUT,"4,420","4,425",P,"Feb 11, 2022",3:54pm → 3:55pm,Touch,"$1,260",-$160
SPX,Short Put Spread,PUT,"4,390","4,395",P,"Feb 14, 2022",3:54pm → 4:00pm,Expired,"$1,432",$568
SPX,Short Put Spread,PUT,"4,475","4,480",P,"Feb 16, 2022",3:54pm → 3:55pm,Touch,"$1,278",-$351
SPX,Short Put Spread,PUT,"4,340","4,345",P,"Feb 18, 2022",3:54pm → 3:57pm,Touch,"$1,428",-$16
SPX,Short Put Spread,PUT,"4,285","4,290",P,"Feb 22, 2022",3:54pm → 4:00pm,Expired,"$1,320",$680
SPX,Short Put Spread,PUT,"4,220","4,225",P,"Feb 23, 2022",3:54pm → 3:55pm,Touch,"$1,408",-$280
SPX,Short Put Spread,PUT,"4,375","4,380",P,"Feb 25, 2022",3:54pm → 3:55pm,Touch,"$1,143",-$102
SPX,Short Put Spread,PUT,"4,390","4,395",P,"Mar 2, 2022",3:54pm → 3:55pm,Touch,"$1,320",-$12
SPX,Short Put Spread,PUT,"4,310","4,315",P,"Mar 4, 2022",3:54pm → 4:00pm,Expired,"$1,179",$321
SPX,Short Put Spread,PUT,"4,200","4,205",P,"Mar 7, 2022",3:54pm → 3:55pm,Touch,"$1,340",-$360
SPX,Short Put Spread,PUT,"4,270","4,275",P,"Mar 9, 2022",3:54pm → 3:56pm,Touch,"$1,456",-$96
SPX,Short Put Spread,PUT,"4,200","4,205",P,"Mar 11, 2022",3:54pm → 3:58pm,Touch,"$1,480",-$72
SPX,Short Put Spread,PUT,"4,160","4,165",P,"Mar 14, 2022",3:54pm → 4:00pm,Expired,"$1,412",$588
SPX,Short Put Spread,PUT,"4,340","4,345",P,"Mar 16, 2022",3:54pm → 3:55pm,Touch,"$1,300",$8
SPX,Short Put Spread,PUT,"4,450","4,455",P,"Mar 18, 2022",3:54pm → 4:00pm,Expired,"$1,460",$540
SPX,Short Put Spread,PUT,"4,445","4,450",P,"Mar 21, 2022",3:54pm → 4:00pm,Expired,"$1,155",$345
SPX,Short Put Spread,PUT,"4,455","4,460",P,"Mar 23, 2022",3:54pm → 3:55pm,Touch,"$1,396",-$108
SPX,Short Put Spread,PUT,"4,525","4,530",P,"Mar 25, 2022",3:54pm → 4:00pm,Expired,"$1,257",$243
SPX,Short Put Spread,PUT,"4,555","4,560",P,"Mar 28, 2022",3:54pm → 4:00pm,Expired,"$1,287",$213
SPX,Short Put Spread,PUT,"4,580","4,585",P,"Mar 30, 2022",3:54pm → 4:00pm,Expired,"$1,488",$512
SPX,Short Put Spread,PUT,"4,545","4,550",P,"Mar 31, 2022",3:54pm → 3:55pm,Touch,"$1,312",-$312
SPX,Short Put Spread,PUT,"4,530","4,535",P,"Apr 1, 2022",3:54pm → 4:00pm,Expired,"$1,308",$192
SPX,Short Put Spread,PUT,"4,575","4,580",P,"Apr 4, 2022",3:54pm → 3:55pm,Touch,"$1,368",$252
