date,year,side,short_strike,credit,qty,pnl,exit,exit_time
20220103,2022,CALL,4800,0.3,3,83.99999999999999,expire,16:00
20220103,2022,PUT,4790,0.5,3,144.0,expire,16:00
20220105,2022,CALL,4715,0.9500000000000001,3,-620.9999999999999,touch,15:53
20220105,2022,PUT,4705,0.55,3,-336.0,touch,15:59
20220107,2022,CALL,4690,0.75,3,219.0,expire,16:00
20220107,2022,PUT,4680,0.35,3,-321.00000000000006,touch,15:59
20220110,2022,CALL,4665,0.5499999999999999,3,-171.0,touch,15:55
20220110,2022,PUT,4650,0.44999999999999996,3,129.0,expire,16:00
20220112,2022,CALL,4735,0.7,3,203.99999999999997,expire,16:00
20220112,2022,PUT,4725,0.55,3,-50.99999999999997,touch,15:59
20220114,2022,CALL,4665,0.7,3,-261.0,touch,15:59
20220114,2022,PUT,4655,0.8999999999999999,3,264.0,expire,16:00
20220118,2022,CALL,4585,0.5999999999999999,3,173.99999999999997,expire,16:00
20220118,2022,PUT,4570,0.6499999999999999,3,-156.0,touch,15:54
20220119,2022,CALL,4550,1.0,3,294.0,expire,16:00
20220119,2022,PUT,4540,0.8500000000000001,3,-365.99999999999994,touch,15:55
20220121,2022,CALL,4415,0.75,3,219.0,expire,16:00
20220121,2022,PUT,4400,1.1,3,-275.99999999999994,touch,15:54
20220124,2022,CALL,4410,1.5999999999999996,4,-728.0000000000002,touch,15:53
20220124,2022,PUT,4400,0.8999999999999995,3,-666.0,touch,15:55
20220128,2022,CALL,4425,0.7500000000000002,3,-80.99999999999993,touch,15:56
20220128,2022,PUT,4415,0.8,3,-530.9999999999999,touch,15:53
20220131,2022,CALL,4515,0.9000000000000001,3,-170.99999999999994,touch,15:54
20220131,2022,PUT,4505,1.2,3,353.99999999999994,expire,16:00
20220202,2022,CALL,4595,0.7499999999999999,3,-276.0,touch,15:56
20220202,2022,PUT,4585,1.0999999999999999,3,-455.9999999999999,touch,15:53
20220204,2022,CALL,4520,0.8,3,234.00000000000003,expire,16:00
20220204,2022,PUT,4505,0.6000000000000001,3,-351.0,touch,15:59
20220207,2022,CALL,4490,1.0999999999999999,3,324.0,expire,16:00
20220207,2022,PUT,4480,1.1,3,-576.0000000000001,touch,15:53
20220209,2022,CALL,4590,1.0,3,294.0,expire,16:00
20220209,2022,PUT,4580,0.75,3,219.0,expire,16:00
20220211,2022,CALL,4435,1.2000000000000002,3,-380.9999999999999,touch,15:56
20220211,2022,PUT,4425,1.0999999999999996,3,-395.99999999999994,touch,15:54
20220214,2022,CALL,4405,1.4499999999999997,4,-228.0000000000001,touch,15:55
20220214,2022,PUT,4395,0.8499999999999999,3,248.99999999999997,expire,16:00
20220216,2022,CALL,4490,0.6500000000000001,3,189.00000000000003,expire,16:00
20220216,2022,PUT,4480,0.7000000000000001,3,-80.99999999999997,touch,15:54
20220218,2022,CALL,4355,1.2,3,353.99999999999994,expire,16:00
20220218,2022,PUT,4345,1.1,3,324.0,expire,16:00
20220222,2022,CALL,4300,1.15,3,8.999999999999947,touch,15:55
20220222,2022,PUT,4290,1.1,3,324.0,expire,16:00
20220223,2022,CALL,4230,0.6499999999999999,3,-471.00000000000006,touch,15:53
20220223,2022,PUT,4220,1.2000000000000002,3,354.00000000000006,expire,16:00
20220225,2022,CALL,4390,0.8499999999999999,3,248.99999999999997,expire,16:00
20220225,2022,PUT,4380,1.3,4,512.0,expire,16:00
20220228,2022,CALL,4365,0.9500000000000002,3,-276.0,touch,15:54
20220228,2022,PUT,4350,0.8500000000000001,3,249.00000000000003,expire,16:00
20220302,2022,CALL,4405,0.9499999999999997,3,278.99999999999994,expire,16:00
20220302,2022,PUT,4395,0.8,3,-365.99999999999994,touch,15:55
20220304,2022,CALL,4320,1.0999999999999999,3,-396.00000000000006,touch,15:54
20220304,2022,PUT,4310,0.95,3,278.99999999999994,expire,16:00
20220307,2022,CALL,4215,0.8999999999999999,3,264.0,expire,16:00
20220307,2022,PUT,4200,1.0,3,294.0,expire,16:00
20220309,2022,CALL,4285,0.6499999999999999,3,188.99999999999997,expire,16:00
20220309,2022,PUT,4275,0.8500000000000001,3,-290.99999999999994,touch,15:56
20220311,2022,CALL,4220,0.7000000000000001,3,204.0,expire,16:00
20220311,2022,PUT,4210,1.1500000000000001,3,-426.0,touch,15:54
20220314,2022,CALL,4175,0.75,3,-215.99999999999997,touch,15:56
20220314,2022,PUT,4165,1.1500000000000001,3,339.0,expire,16:00
20220316,2022,CALL,4350,0.6000000000000001,3,-395.99999999999994,touch,15:57
20220316,2022,PUT,4340,1.0000000000000002,3,294.0000000000001,expire,16:00
20220318,2022,CALL,4465,0.55,3,-321.00000000000006,touch,15:56
20220318,2022,PUT,4450,0.6000000000000001,3,174.00000000000003,expire,16:00
20220321,2022,CALL,4455,1.2000000000000002,3,-185.9999999999999,touch,15:55
20220321,2022,PUT,4445,0.39999999999999997,3,114.0,expire,16:00
20220323,2022,CALL,4470,0.8,3,234.00000000000003,expire,16:00
20220323,2022,PUT,4460,1.2,3,-215.99999999999997,touch,15:57
20220325,2022,CALL,4540,0.4,3,-171.0,touch,15:59
20220325,2022,PUT,4525,0.35000000000000003,3,99.0,expire,16:00
20220328,2022,CALL,4570,0.30000000000000004,3,-321.00000000000006,touch,15:57
20220328,2022,PUT,4555,0.35,3,98.99999999999999,expire,16:00
20220330,2022,CALL,4595,0.55,3,-486.00000000000006,touch,15:57
20220330,2022,PUT,4580,0.6499999999999999,3,188.99999999999997,expire,16:00
20220331,2022,CALL,4560,1.25,4,492.0,expire,16:00
20220331,2022,PUT,4550,1.2999999999999998,4,-388.00000000000006,touch,15:54
20220401,2022,CALL,4545,0.65,3,-471.00000000000006,touch,15:56
20220401,2022,PUT,4535,0.4,3,114.00000000000001,expire,16:00
