label,entry,dist,width,touch,sides,pnl,dd,wr,n,sharpe,pf,worst
"PUT, 15:52, d=0, t=None, w=5",15:52,0,5,,PUT,-43403,-43658,27.9,484,-8.71,0.18,-768
"PUT, 15:52, d=0, t=None, w=10",15:52,0,10,,PUT,-12520,-12889,37.9,486,-4.8,0.36,-514
"BOTH, 15:52, d=0, t=None, w=5",15:52,0,5,,BOTH,-85927,-86139,27.4,1008,-8.42,0.19,-768
"BOTH, 15:52, d=0, t=None, w=10",15:52,0,10,,BOTH,-25747,-26211,36.2,1010,-4.82,0.35,-614
"PUT, 15:52, d=0, t=$-0.5, w=5",15:52,0,5,-0.5,PUT,6290,-4012,52.1,484,0.77,1.13,-768
"PUT, 15:52, d=0, t=$-0.5, w=10",15:52,0,10,-0.5,PUT,9596,-1537,56.8,486,2.36,1.51,-514
"BOTH, 15:52, d=0, t=$-0.5, w=5",15:52,0,5,-0.5,BOTH,21226,-8558,54.6,1008,1.25,1.22,-768
"BOTH, 15:52, d=0, t=$-0.5, w=10",15:52,0,10,-0.5,BOTH,19314,-2288,59.5,1010,2.35,1.51,-614
"PUT, 15:52, d=0, t=$+0.0, w=5",15:52,0,5,0,PUT,917,-5252,49.8,484,0.12,1.02,-768
"PUT, 15:52, d=0, t=$+0.0, w=10",15:52,0,10,0,PUT,7465,-1496,55.6,486,1.9,1.41,-514
"BOTH, 15:52, d=0, t=$+0.0, w=5",15:52,0,5,0,BOTH,2083,-11075,50.1,1008,0.13,1.02,-768
"BOTH, 15:52, d=0, t=$+0.0, w=10",15:52,0,10,0,BOTH,12083,-2521,55.5,1010,1.52,1.32,-614
"PUT, 15:52, d=0, t=$+0.5, w=5",15:52,0,5,0.5,PUT,-5518,-7920,46.7,484,-0.73,0.89,-768
"PUT, 15:52, d=0, t=$+0.5, w=10",15:52,0,10,0.5,PUT,4675,-1693,52.5,486,1.21,1.25,-514
"BOTH, 15:52, d=0, t=$+0.5, w=5",15:52,0,5,0.5,BOTH,-11312,-18301,46.2,1008,-0.73,0.89,-768
"BOTH, 15:52, d=0, t=$+0.5, w=10",15:52,0,10,0.5,BOTH,6753,-2721,52.3,1010,0.87,1.18,-614
"PUT, 15:52, d=0, t=$+1.0, w=5",15:52,0,5,1.0,PUT,-12708,-15255,43.2,484,-1.77,0.75,-768
"PUT, 15:52, d=0, t=$+1.0, w=10",15:52,0,10,1.0,PUT,1330,-1780,49.8,486,0.36,1.07,-514
"BOTH, 15:52, d=0, t=$+1.0, w=5",15:52,0,5,1.0,BOTH,-23897,-28984,43.8,1008,-1.63,0.76,-768
"BOTH, 15:52, d=0, t=$+1.0, w=10",15:52,0,10,1.0,BOTH,1513,-4310,50.5,1010,0.21,1.04,-614
"PUT, 15:52, d=0, t=$+2.0, w=5",15:52,0,5,2.0,PUT,-20613,-22883,40.5,484,-3.14,0.59,-768
"PUT, 15:52, d=0, t=$+2.0, w=10",15:52,0,10,2.0,PUT,-2500,-4161,47.1,486,-0.75,0.87,-514
"BOTH, 15:52, d=0, t=$+2.0, w=5",15:52,0,5,2.0,BOTH,-43757,-48144,39.3,1008,-3.32,0.57,-768
"BOTH, 15:52, d=0, t=$+2.0, w=10",15:52,0,10,2.0,BOTH,-7647,-10545,45.7,1010,-1.15,0.8,-614
"PUT, 15:52, d=1, t=None, w=5",15:52,1,5,,PUT,-38972,-39089,26.4,503,-8.71,0.16,-768
"PUT, 15:52, d=1, t=None, w=10",15:52,1,10,,PUT,-11066,-11297,35.8,511,-4.82,0.35,-514
"BOTH, 15:52, d=1, t=None, w=5",15:52,1,5,,BOTH,-73531,-73612,26.0,1039,-8.41,0.18,-768
"BOTH, 15:52, d=1, t=None, w=10",15:52,1,10,,BOTH,-21819,-22100,34.3,1049,-4.76,0.34,-614
"PUT, 15:52, d=1, t=$-0.5, w=5",15:52,1,5,-0.5,PUT,10891,-4182,58.6,503,1.44,1.25,-768
"PUT, 15:52, d=1, t=$-0.5, w=10",15:52,1,10,-0.5,PUT,11310,-1235,62.0,511,3.02,1.69,-514
"BOTH, 15:52, d=1, t=$-0.5, w=5",15:52,1,5,-0.5,BOTH,32652,-4787,61.5,1039,2.16,1.41,-768
"BOTH, 15:52, d=1, t=$-0.5, w=10",15:52,1,10,-0.5,BOTH,23377,-1350,65.2,1049,3.24,1.76,-614
"PUT, 15:52, d=1, t=$+0.0, w=5",15:52,1,5,0,PUT,7053,-3977,56.5,503,0.98,1.17,-768
"PUT, 15:52, d=1, t=$+0.0, w=10",15:52,1,10,0,PUT,9409,-1260,60.7,511,2.61,1.59,-514
"BOTH, 15:52, d=1, t=$+0.0, w=5",15:52,1,5,0,BOTH,18459,-6046,57.6,1039,1.28,1.23,-768
"BOTH, 15:52, d=1, t=$+0.0, w=10",15:52,1,10,0,BOTH,17396,-1570,61.8,1049,2.5,1.56,-614
"PUT, 15:52, d=1, t=$+0.5, w=5",15:52,1,5,0.5,PUT,3023,-4952,53.9,503,0.43,1.07,-768
"PUT, 15:52, d=1, t=$+0.5, w=10",15:52,1,10,0.5,PUT,7589,-1089,57.9,511,2.15,1.48,-514
"BOTH, 15:52, d=1, t=$+0.5, w=5",15:52,1,5,0.5,BOTH,7549,-8988,53.7,1039,0.55,1.09,-768
"BOTH, 15:52, d=1, t=$+0.5, w=10",15:52,1,10,0.5,BOTH,13101,-1616,58.7,1049,1.94,1.42,-614
