date,spot,spx_exit,short_strike,credit,qty,pnl,win,vix_prev_close,vix_1550,vix_intraday_chg,day_range_pct,intraday_return_pct,dist_from_high_pct,dist_from_low_pct,mom_5,mom_10,mom_15,mom_30,mom_60,near_high,dow,prior_day_return,ema_bullish,afternoon_return,last_hour_return
20220103,4790.4,4796.59,4795,0.9,6,-426.0,0,,16.84,,0.789,0.324,-0.046,0.742,0.0017,0.0685,0.0271,0.0227,0.0413,1,0,,1,0.4026,0.0413
20220110,4665.51,4670.29,4670,0.15,5,-80.0,0,18.76,19.84,,1.714,0.112,-0.031,1.683,0.0565,0.147,0.2366,0.3747,0.4539,1,0,-0.439,1,1.0965,0.4539
20220112,4728.94,4726.43,4735,0.5,5,240.0,1,18.41,17.69,,0.891,0.03,-0.398,0.492,0.0008,0.0226,0.2252,0.2119,0.084,0,2,0.942,1,-0.0773,0.084
20220114,4661.05,4662.82,4665,1.35,6,798.0,1,20.31,19.21,,1.086,0.547,-0.038,1.048,-0.0094,0.0088,0.1075,0.1744,0.4599,1,4,-1.57,1,0.9058,0.4599
20220124,4402.62,4410.5,4410,0.6,5,40.0,1,28.85,30.17,,4.398,1.079,-0.25,4.148,0.0477,0.5859,0.5694,1.3096,2.3145,0,0,-1.647,1,3.0884,2.3145
20220128,4418.87,4432.0,4425,1.0,6,-2412.0,0,30.49,27.45,,2.989,1.954,-0.027,2.962,0.0324,0.4805,0.56,0.7521,1.106,1,4,-1.235,1,1.3961,1.106
20220131,4512.29,4515.45,4520,0.6,5,290.0,1,27.66,24.9,,2.291,1.867,-0.022,2.268,0.0878,0.4106,0.4989,0.5817,0.46,1,0,2.21,1,0.6748,0.46
20220202,4593.98,4589.31,4600,0.15,5,65.0,1,21.96,20.63,,1.092,0.527,-0.081,1.01,-0.0213,0.0194,0.0277,-0.049,0.085,0,2,0.593,1,0.1912,0.085
20220204,4509.16,4500.61,4515,1.15,6,678.0,1,24.35,22.76,,1.967,0.69,-0.579,1.388,-0.041,-0.0943,-0.3006,-0.5,-0.2016,0,4,-1.281,0,0.1925,-0.2016
20220209,4582.46,4587.21,4590,0.8,5,390.0,1,21.44,20.03,,0.946,0.84,-0.106,0.84,0.0225,0.0993,0.076,0.1741,0.0436,0,2,0.925,1,0.1501,0.0436
20220216,4478.26,4475.1,4485,0.4,5,190.0,1,25.7,23.99,,1.344,0.511,-0.248,1.096,-0.1189,-0.0879,-0.1086,-0.0487,0.1949,0,2,0.942,1,0.9014,0.1949
20220225,4383.67,4384.62,4390,0.35,5,165.0,1,30.32,27.61,,2.286,1.94,-0.077,2.209,0.0091,0.0925,0.2093,0.1197,0.3646,0,4,3.197,1,0.2831,0.3646
20220228,4366.93,4373.39,4370,1.1,6,-1386.0,0,27.59,29.95,,1.693,0.265,-0.531,1.162,0.103,0.3295,0.8259,0.5227,0.6729,0,0,2.006,1,0.5236,0.6729
20220302,4390.44,4386.47,4395,1.85,7,1281.0,1,33.32,30.26,,1.826,1.708,-0.118,1.708,-0.0246,0.0134,0.0253,0.1492,0.162,0,2,-1.305,1,0.2207,0.162
20220309,4276.45,4277.86,4280,1.8,7,1246.0,1,35.13,32.15,,1.807,1.375,-0.432,1.375,-0.0388,-0.2475,-0.2851,-0.2533,0.0138,0,2,-0.762,0,-0.0864,0.0138
20220316,4347.15,4358.11,4355,0.2,5,-1465.0,0,29.83,26.51,,2.217,1.329,-0.045,2.173,0.0081,0.292,0.3552,0.2607,0.6892,1,2,1.764,1,0.5691,0.6892
20220318,4463.14,4463.08,4470,0.15,5,65.0,1,25.67,23.96,,1.698,1.199,-0.118,1.58,0.0076,-0.0224,0.128,0.0401,0.4287,0,4,1.525,1,0.6236,0.4287
20220325,4536.34,4543.06,4540,0.85,6,-1338.0,0,21.67,21.07,,0.994,0.293,-0.218,0.776,0.0905,0.1979,0.3054,0.3038,-0.0377,0,4,1.123,1,0.4469,-0.0377
20220328,4567.14,4575.49,4575,0.1,5,-205.0,0,20.81,19.96,,1.127,0.578,-0.033,1.094,0.1006,0.0583,0.1298,0.1149,0.232,1,0,0.446,1,0.7302,0.232
20220401,4544.83,4545.8,4550,0.25,5,115.0,1,20.56,19.83,,0.906,0.033,-0.152,0.754,0.151,0.4481,0.342,0.3367,0.1223,0,4,-1.49,1,0.6147,0.1223
20220404,4578.41,4582.62,4585,0.5,5,240.0,1,19.63,18.66,,0.974,0.729,-0.052,0.922,0.0013,0.1185,0.031,0.0367,0.0725,0,0,0.121,1,0.3586,0.0725
20220413,4445.67,4446.67,4450,0.65,5,315.0,1,24.26,21.56,,1.393,1.193,-0.164,1.229,-0.0627,-0.1347,-0.1132,-0.0501,0.1105,0,2,-0.907,1,0.2577,0.1105
20220425,4293.94,4296.43,4300,1.3,6,768.0,1,28.21,27.59,,2.308,1.01,-0.016,2.292,0.1321,0.134,0.1097,0.3387,0.4691,1,0,-2.597,1,1.6243,0.4691
20220427,4187.99,4183.94,4195,0.4,5,190.0,1,33.52,32.27,,1.859,-0.02,-1.314,0.545,0.15,-0.2196,-0.0738,-0.1548,-0.4256,0,2,-2.406,0,-0.9696,-0.4256
20220502,4154.16,4155.58,4160,0.75,5,365.0,1,33.4,32.71,,2.598,0.564,-0.385,2.213,0.1577,0.4211,0.3564,0.5135,1.7529,0,0,-2.868,1,1.2828,1.7529
20220504,4301.01,4300.39,4305,0.8,5,390.0,1,29.25,24.95,,3.797,2.838,-0.187,3.61,-0.1094,0.101,0.1197,0.5634,1.171,0,2,0.372,1,2.562,1.171
20220513,4014.38,4023.86,4020,1.15,6,-1638.0,0,31.77,29.14,,1.892,1.365,-0.527,1.365,0.1615,-0.1806,-0.0502,-0.1672,0.203,0,4,0.675,0,-0.2448,0.203
20220517,4081.39,4088.93,4085,1.4,6,-1530.0,0,27.47,26.11,,1.402,0.774,-0.181,1.22,0.0787,0.0936,-0.0247,-0.134,0.1749,0,1,-0.116,0,0.345,0.1749
20220519,3903.93,3900.72,3910,0.25,5,115.0,1,30.96,29.29,,1.779,0.042,-1.162,0.617,-0.0231,-0.3894,-0.0085,-0.244,-0.788,0,3,-3.154,0,-0.1239,-0.788
20220523,3966.86,3973.85,3970,0.4,5,-1735.0,0,29.43,28.62,,1.858,1.116,-0.477,1.381,-0.023,0.0897,-0.0151,-0.0106,-0.215,0,0,-0.672,0,0.0144,-0.215
20220525,3979.61,3979.0,3985,0.2,5,90.0,1,29.45,28.67,,1.891,1.215,-0.559,1.331,0.0692,-0.0962,-0.0488,-0.374,-0.1228,0,2,-0.019,0,0.7896,-0.1228
20220526,4059.3,4057.94,4065,0.55,5,265.0,1,28.37,27.19,,2.272,1.91,-0.362,1.91,-0.2204,-0.1431,-0.0495,0.2278,-0.0687,0,3,1.257,1,-0.1925,-0.0687
20220527,4150.98,4158.27,4155,0.3,5,-1495.0,0,27.5,25.8,,1.789,1.74,-0.049,1.74,0.1105,0.0403,0.12,-0.0152,0.3296,1,4,1.841,1,0.4674,0.3296
20220607,4163.44,4160.54,4170,0.05,5,15.0,1,25.07,23.91,,2.067,1.64,-0.03,2.037,0.0353,0.0974,0.0877,0.3207,0.5754,1,1,-0.324,1,0.8778,0.5754
20220615,3793.68,3789.91,3800,0.15,5,65.0,1,32.69,29.39,,3.062,0.632,-1.321,1.741,-0.1179,-0.2557,-0.4635,-0.6048,-0.0981,0,2,-0.734,0,0.7011,-0.0981
20220617,3683.57,3674.45,3690,0.15,5,65.0,1,32.95,31.05,,1.932,0.39,-0.75,1.182,0.0514,0.034,-0.2356,-0.2731,-0.345,0,4,-1.635,0,0.2023,-0.345
20220621,3766.7,3764.84,3770,1.85,7,1281.0,1,31.13,30.03,,1.732,1.506,-0.226,1.506,-0.0223,0.0225,0.0714,-0.0652,-0.1147,0,1,0.233,0,0.0329,-0.1147
20220622,3771.64,3759.84,3775,0.6,5,290.0,1,30.19,29.2,,2.252,1.018,-0.801,1.452,0.2461,0.204,0.2269,-0.2185,-0.3514,0,2,1.333,0,-0.0919,-0.3514
20220623,3792.82,3795.76,3800,0.2,5,90.0,1,28.95,28.96,,1.565,0.487,-0.251,1.313,-0.175,-0.0487,-0.0095,0.2954,0.5141,0,3,0.695,1,1.2125,0.5141
20220624,3905.21,3912.15,3910,0.8,5,-685.0,0,29.05,27.27,,2.249,2.235,-0.014,2.235,0.1882,0.1723,0.246,0.3101,0.4032,1,4,0.558,1,0.5127,0.4032
20220701,3821.7,3825.36,3825,0.65,5,135.0,1,28.71,26.82,,2.056,1.079,-0.212,1.843,0.0141,-0.1231,-0.169,0.224,0.3925,0,4,0.001,1,1.3259,0.3925
20220705,3826.55,3831.59,3830,0.7,5,-455.0,0,26.7,27.61,,2.317,0.92,-0.065,2.253,-0.0162,0.0876,0.0894,0.1499,0.4227,0,1,1.173,1,1.5653,0.4227
20220706,3839.95,3845.15,3845,0.6,5,215.0,1,27.54,26.78,,1.606,0.239,-0.777,0.829,-0.1539,-0.4151,-0.5329,-0.5991,-0.3712,0,2,1.028,0,0.4453,-0.3712
20220707,3901.47,3902.43,3905,0.65,5,315.0,1,26.73,25.78,,1.342,1.118,-0.224,1.118,-0.084,0.0351,0.0179,-0.0863,0.0777,0,3,0.344,0,0.1962,0.0777
20220708,3904.79,3899.37,3910,0.15,5,65.0,1,26.08,24.69,,1.264,0.404,-0.373,0.891,0.0354,-0.0289,0.0095,-0.0742,-0.1202,0,4,1.129,0,0.4733,-0.1202
20220713,3806.78,3801.59,3810,0.9,6,528.0,1,27.29,26.79,,1.862,0.737,-0.58,1.282,0.1131,0.0444,-0.0457,-0.218,-0.2758,0,2,-0.852,0,-0.3121,-0.2758
20220714,3791.0,3790.25,3795,0.45,5,215.0,1,26.82,26.41,,1.989,0.708,-0.154,1.835,0.0272,0.0272,0.1033,-0.0683,0.1038,0,3,0.58,1,1.1304,0.1038
20220719,3936.22,3936.14,3940,0.2,5,90.0,1,25.3,24.63,,2.048,1.9,-0.148,1.9,-0.0361,-0.0589,0.0323,0.0934,0.1678,0,1,-1.364,1,0.4478,0.1678
20220720,3961.62,3959.95,3965,0.35,5,165.0,1,24.5,23.73,,1.324,0.641,-0.345,0.979,-0.1319,-0.0941,-0.0666,-0.145,0.2915,0,2,1.953,1,0.1216,0.2915
20220721,3995.72,3999.1,4000,0.35,5,165.0,1,23.88,23.06,,1.698,0.986,-0.008,1.689,0.022,0.1484,0.1597,0.2067,0.3661,1,3,0.626,1,0.2507,0.3661
20220727,4027.65,4023.32,4035,0.3,5,140.0,1,24.69,23.18,,2.23,1.959,-0.271,1.959,0.0104,-0.1022,-0.095,-0.0238,0.276,0,2,-0.819,1,1.407,0.276
20220728,4070.27,4072.17,4075,0.3,5,140.0,1,23.24,22.41,,2.136,1.137,-0.175,1.96,-0.0223,0.106,0.0922,-0.0515,-0.0329,0,3,1.819,0,0.5591,-0.0329
20220729,4131.54,4130.44,4135,1.0,6,588.0,1,22.33,21.47,,1.491,1.115,-0.177,1.314,-0.1242,-0.1223,-0.0737,-0.0561,0.0886,0,4,1.144,1,0.4184,0.0886
20220801,4117.0,4118.62,4120,0.7,5,340.0,1,21.33,22.95,,1.19,0.144,-0.648,0.542,-0.1242,-0.0454,-0.0905,-0.0024,-0.0522,0,0,1.055,0,-0.2417,-0.0522
20220803,4161.17,4155.12,4165,0.9,6,528.0,1,23.93,21.75,,1.453,1.353,-0.1,1.353,-0.0122,-0.0329,0.0175,0.112,0.0796,0,2,-0.313,1,0.1947,0.0796
20220805,4143.58,4145.07,4150,0.05,5,15.0,1,21.44,20.77,,1.076,0.673,-0.194,0.881,-0.0268,0.0674,0.1729,0.2254,0.3774,0,4,-0.068,1,0.1978,0.3774
20220810,4208.47,4210.12,4215,0.1,5,40.0,1,21.77,19.76,,0.808,0.66,-0.058,0.75,0.0257,-0.0425,0.0471,0.1621,0.2831,0,2,-0.253,1,0.2153,0.2831
20220812,4273.82,4279.95,4280,0.05,5,15.0,1,20.2,19.34,,1.333,1.174,-0.035,1.298,-0.0105,0.051,0.0801,0.1321,0.2469,1,4,-0.475,1,0.5552,0.2469
20220815,4296.19,4297.14,4300,0.2,5,90.0,1,19.53,20.01,,1.051,0.627,-0.133,0.919,-0.0761,-0.0658,-0.0577,-0.1118,-0.0433,0,0,1.3,0,0.0033,-0.0433
20220816,4304.58,4305.24,4310,0.65,5,315.0,1,19.95,19.61,,1.107,0.398,-0.413,0.694,-0.0422,0.0283,0.0265,0.122,0.3039,0,1,0.65,1,0.0228,0.3039
20220818,4280.58,4284.15,4285,0.3,5,140.0,1,19.9,19.48,,0.715,0.196,-0.258,0.457,-0.0772,-0.1721,-0.2216,-0.1791,-0.0605,0,3,-0.148,0,0.2494,-0.0605
20220824,4143.31,4140.99,4150,0.05,5,15.0,1,24.11,22.81,,0.887,0.459,-0.268,0.618,-0.0159,-0.0701,-0.1111,-0.0029,0.1914,0,2,-0.106,1,0.2101,0.1914
20220825,4193.68,4199.52,4200,0.05,5,15.0,1,22.82,22.0,,1.114,0.957,-0.02,1.093,0.0642,0.089,0.2383,0.3509,0.573,1,3,0.35,1,0.7945,0.573
20220829,4036.34,4030.76,4040,0.75,5,365.0,1,25.56,25.98,,1.129,0.088,-0.616,0.514,0.0359,-0.232,-0.2414,-0.2672,-0.2362,0,0,-3.358,0,-0.359,-0.2362
20220901,3961.24,3966.87,3965,0.1,5,-895.0,0,25.87,25.79,,1.378,0.508,-0.03,1.349,0.1706,0.1909,0.2846,0.2618,0.1899,1,3,-1.141,1,1.2324,0.1899
20220907,3977.6,3979.99,3985,1.05,6,618.0,1,26.91,24.64,,2.094,1.898,-0.109,1.985,0.0085,0.0352,0.0668,-0.0166,0.103,0,2,-0.568,1,0.8585,0.103
20220908,4003.27,4006.09,4010,0.1,5,40.0,1,24.64,23.89,,1.659,1.067,-0.21,1.449,0.191,0.3765,0.2789,0.1842,0.2929,0,3,1.805,1,0.5411,0.2929
20220909,4071.12,4067.41,4075,0.95,6,558.0,1,23.61,22.85,,1.339,1.223,-0.116,1.223,0.0479,-0.0964,-0.0199,-0.0201,0.1316,0,4,1.165,1,0.3138,0.1316
20220914,3939.65,3946.14,3945,1.35,6,114.0,1,27.27,26.55,,1.263,0.077,-0.461,0.802,0.1361,0.3989,0.5353,0.6025,0.3948,0,2,-2.588,1,-0.2774,0.3948
20220919,3895.56,3900.0,3900,1.1,6,648.0,1,26.3,25.87,,1.609,1.259,-0.054,1.555,0.1874,-0.0436,-0.0313,0.1145,0.6691,0,0,-0.194,1,0.5561,0.6691
20220928,3727.73,3718.67,3735,0.45,5,215.0,1,32.6,30.12,,2.632,2.12,-0.202,2.43,-0.0718,-0.0699,-0.0118,0.194,0.5495,0,2,-1.054,1,0.7804,0.5495
20221003,3675.95,3678.43,3680,1.9,8,1504.0,1,31.62,30.17,,2.588,1.995,-0.458,2.13,-0.0193,-0.0437,-0.1475,-0.3154,-0.3527,0,0,-1.294,0,0.6839,-0.3527
20221004,3789.01,3791.05,3795,0.5,5,240.0,1,30.1,29.02,,1.692,1.692,0.0,1.692,0.1562,0.2484,0.2505,0.3538,0.1141,1,1,1.902,1,0.3596,0.1141
20221005,3783.42,3783.65,3790,0.15,5,65.0,1,29.07,28.9,,2.245,0.731,-0.699,1.546,-0.1067,-0.3952,-0.3981,-0.5063,-0.1859,0,2,1.733,0,0.4151,-0.1859
20221011,3592.37,3588.7,3600,0.05,5,15.0,1,32.45,33.74,,2.008,-0.195,-1.441,0.567,0.1261,0.0429,0.0887,0.21,-0.0212,0,1,-0.961,0,-1.2017,-0.0212
20221013,3673.78,3669.86,3680,1.05,6,618.0,1,33.57,32.26,,5.506,4.474,-0.214,5.292,0.1479,0.1618,0.3158,0.055,0.0713,0,3,-0.387,1,1.0118,0.0713
20221017,3678.04,3678.16,3685,1.35,6,798.0,1,32.02,31.09,,1.404,1.253,-0.15,1.253,0.0111,-0.0187,0.1079,0.1511,0.1585,0,0,-2.883,1,0.2007,0.1585
20221021,3752.7,3753.14,3760,0.1,5,40.0,1,29.98,30.01,,3.021,2.63,-0.126,2.894,-0.017,-0.0469,-0.087,-0.0543,0.5462,0,4,-0.636,1,0.7546,0.5462
20221024,3793.45,3797.68,3800,0.1,5,40.0,1,29.69,29.96,,1.837,0.81,-0.485,1.352,-0.124,-0.2249,-0.248,-0.3984,-0.2289,0,0,2.626,0,0.154,-0.2289
20221025,3857.76,3859.35,3865,0.1,5,40.0,1,29.85,28.29,,1.669,1.502,-0.167,1.502,-0.0474,-0.0933,-0.0402,-0.0119,0.1675,0,1,0.948,1,0.3085,0.1675
20221026,3834.01,3830.68,3840,0.2,5,90.0,1,28.46,27.57,,1.623,0.279,-1.294,0.329,0.1281,-0.0651,0.0279,0.0934,0.0989,0,2,1.577,1,-0.3773,0.0989
20221028,3901.3,3901.04,3905,1.0,6,588.0,1,27.39,25.89,,2.551,2.477,-0.074,2.477,0.081,0.0941,0.0872,0.1059,0.116,0,4,-0.695,1,0.5335,0.116
20221104,3766.51,3770.59,3770,0.15,5,-230.0,0,25.3,24.69,,2.323,-0.137,-0.916,1.407,0.0426,-0.142,0.0985,0.2994,0.4534,0,4,-0.363,1,1.1549,0.4534
20221107,3804.64,3807.13,3810,0.55,5,265.0,1,24.55,24.48,,1.303,0.698,-0.181,1.121,-0.0803,-0.0394,-0.0144,-0.0486,0.0357,0,0,0.096,1,0.7113,0.0357
20221108,3831.39,3828.31,3835,1.15,6,678.0,1,24.35,25.14,,1.916,0.455,-0.655,1.26,-0.1141,-0.1685,-0.1963,0.1578,0.4588,0,1,0.699,1,-0.4755,0.4588
20221110,3953.5,3955.88,3960,0.7,5,340.0,1,26.09,23.28,,2.539,2.52,-0.02,2.52,0.1397,0.2589,0.3578,0.4554,0.7221,1,3,-1.634,1,1.4443,0.7221
20221111,3994.29,3993.05,4000,0.95,6,558.0,1,23.53,22.4,,1.429,0.855,-0.098,1.332,-0.0365,-0.0053,0.0671,0.1764,-0.0483,0,4,2.487,1,0.6128,-0.0483
20221117,3939.16,3946.86,3945,0.05,5,-915.0,0,24.11,24.01,,1.219,0.47,-0.425,0.795,-0.0426,0.0579,0.1195,0.3481,-0.0038,0,3,-0.446,1,-0.3084,-0.0038
20221123,4024.22,4027.46,4030,0.15,5,65.0,1,21.29,20.48,,0.878,0.645,-0.192,0.686,0.0007,0.0497,-0.0104,-0.1146,-0.0293,0,2,0.961,0,0.6125,-0.0293
20221130,4071.43,4079.64,4075,0.3,5,-2180.0,0,21.89,20.48,,3.379,2.878,-0.031,3.348,0.091,0.1925,0.226,0.3881,0.9525,1,2,-0.171,1,3.1745,0.9525
20221202,4069.07,4071.63,4075,0.15,5,65.0,1,19.84,19.11,,1.333,0.643,-0.354,0.978,0.113,0.03,0.0224,-0.1809,0.0253,0,4,-0.253,0,0.3301,0.0253
