date,side,entry_time,exit_time,spx_at_entry,spx_at_exit,short_strike,long_strike,qty,credit_received,spread_value_exit,pnl_earned,win,loss,equity_after,vix_level,indicator_value
20220103,CALL,15:55:00,16:00:00,4793.7,4796.59,4800,4810,1,0.15,0.0,13.0,1,0,50013.0,16.6,"vix1550=16.8,dist=5"
20220103,PUT,15:55:00,16:00:00,4793.7,4796.59,4785,4775,1,0.15,0.0,13.0,1,0,50026.0,16.6,"vix1550=16.8,dist=5"
20220105,CALL,15:55:00,16:00:00,4712.61,4700.67,4720,4730,2,0.5,0.0,96.0,1,0,50122.0,19.73,"vix1550=19.5,dist=5"
20220107,PUT,15:55:00,16:00:00,4680.34,4677.02,4675,4665,2,0.5,0.0,96.0,1,0,50218.0,18.76,"vix1550=18.7,dist=5"
20220112,CALL,15:55:00,16:00:00,4729.94,4726.43,4735,4745,3,0.65,0.0,189.0,1,0,50407.0,17.62,"vix1550=17.7,dist=5"
20220112,PUT,15:55:00,16:00:00,4729.94,4726.43,4720,4710,1,0.15,0.0,13.0,1,0,50420.0,17.62,"vix1550=17.7,dist=5"
20220114,CALL,15:55:00,16:00:00,4663.47,4662.82,4670,4680,3,0.75,0.0,219.0,1,0,50639.0,19.19,"vix1550=19.2,dist=5"
20220114,PUT,15:55:00,16:00:00,4663.47,4662.82,4655,4645,2,0.4,0.0,76.0,1,0,50715.0,19.19,"vix1550=19.2,dist=5"
20220118,CALL,15:55:00,15:57:00,4569.34,4576.75,4575,4585,3,1.2,2.6,-426.0,0,1,50289.0,22.79,"vix1550=22.6,dist=5,TOUCH@15:57"
20220118,PUT,15:55:00,16:00:00,4569.34,4577.34,4560,4550,2,0.4,0.0,76.0,1,0,50365.0,22.79,"vix1550=22.6,dist=5"
20220202,CALL,15:55:00,16:00:00,4590.34,4589.31,4600,4610,2,0.2,0.0,36.0,1,0,50401.0,22.09,"vix1550=20.6,dist=5"
20220202,PUT,15:55:00,16:00:00,4590.34,4589.31,4585,4575,3,0.75,0.0,219.0,1,0,50620.0,22.09,"vix1550=20.6,dist=5"
20220204,PUT,15:55:00,15:59:00,4513.54,4499.81,4505,4495,3,0.65,1.9,-381.0,0,1,50239.0,23.22,"vix1550=22.8,dist=5,TOUCH@15:59"
20220204,CALL,15:55:00,16:00:00,4513.54,4500.61,4520,4530,3,0.65,0.0,189.0,1,0,50428.0,23.22,"vix1550=22.8,dist=5"
20220207,CALL,15:55:00,15:58:00,4474.05,4480.55,4480,4490,4,1.3,1.95,-268.0,0,1,50160.0,22.86,"vix1550=23.0,dist=5,TOUCH@15:58"
20220207,PUT,15:55:00,16:00:00,4474.05,4483.92,4465,4455,3,0.8,0.0,234.0,1,0,50394.0,22.86,"vix1550=23.0,dist=5"
20220209,CALL,15:55:00,16:00:00,4584.99,4587.21,4590,4600,3,1.05,0.0,309.0,1,0,50703.0,19.96,"vix1550=20.0,dist=5"
