entry_date,entry_time,option_type,short_strike,long_strike,width,credit_received,entry_short_bid,entry_short_ask,entry_short_mid,entry_long_bid,entry_long_ask,entry_long_mid,qty,vix_level,strike_distance,opening_put_credit,opening_call_credit,pc_skew_ratio,ema13,ema48,outcome,pnl_earned,peak_pnl,close_date,close_time,win,loss
20220105,14:15:00,PUT,4730,4690,40.0,1.3,1.55,1.65,1.6,0.15,0.25,0.2,2,19.97,28,,,,4763.42,4765.77,PER_POS_SL,-413.99999999999994,60.00000000000001,20220105,14:35:00,0,1
20220110,14:15:00,PUT,4615,4575,40.0,1.2000000000000002,1.35,1.55,1.45,0.1,0.15,0.125,2,19.4,32,,,,4643.31,4641.91,EXPIRATION,226.00000000000003,230.00000000000003,20220110,15:59:00,1,0
20220112,14:10:00,PUT,4690,4650,40.0,1.2,1.45,1.6,1.525,0.2,0.25,0.225,2,17.65,28,,,,4718.31,4718.71,EXPIRATION,225.99999999999997,229.99999999999997,20220112,15:59:00,1,0
20220114,14:00:00,PUT,4605,4565,40.0,1.6,1.8,1.95,1.875,0.15,0.2,0.175,2,19.28,30,,,,4631.29,4629.26,EXPIRATION,306.0,310.0,20220114,15:59:00,1,0
20220114,14:05:00,PUT,4605,4565,40.0,1.35,1.55,1.7,1.625,0.1,0.2,0.15,2,19.28,31,,,,4635.15,4633.28,EXPIRATION,256.0,260.0,20220114,15:59:00,1,0
20220114,14:10:00,PUT,4605,4565,40.0,1.6500000000000001,1.85,2.0,1.925,0.15,0.2,0.175,2,19.28,28,,,,4635.13,4634.08,EXPIRATION,316.0,320.0,20220114,15:59:00,1,0
20220114,14:15:00,PUT,4605,4565,40.0,1.5,1.7,1.85,1.775,0.15,0.2,0.175,2,19.28,31,,,,4634.87,4634.34,EXPIRATION,286.0,290.0,20220114,15:59:00,1,0
20220114,14:20:00,PUT,4605,4565,40.0,1.45,1.65,1.75,1.7,0.1,0.2,0.15,2,19.28,32,,,,4635.31,4635.43,EXPIRATION,276.0,280.0,20220114,15:59:00,1,0
20220114,14:35:00,PUT,4610,4570,40.0,1.35,1.5,1.6,1.55,0.1,0.15,0.125,2,19.28,34,,,,4637.39,4636.87,EXPIRATION,256.0,260.0,20220114,15:59:00,1,0
20220114,14:45:00,PUT,4605,4565,40.0,1.2000000000000002,1.35,1.45,1.4,0.1,0.15,0.125,2,19.28,33,,,,4639.95,4639.41,EXPIRATION,226.00000000000003,230.00000000000003,20220114,15:59:00,1,0
20220114,14:50:00,PUT,4615,4575,40.0,1.6500000000000001,1.8,1.95,1.875,0.05,0.15,0.1,2,19.28,29,,,,4641.58,4640.02,EXPIRATION,316.0,320.0,20220114,15:59:00,1,0
20220114,15:00:00,PUT,4610,4570,40.0,1.2000000000000002,1.35,1.4,1.375,0.05,0.15,0.1,2,19.28,31,,,,4641.04,4641.06,EXPIRATION,226.00000000000003,230.00000000000003,20220114,15:59:00,1,0
20220118,14:00:00,PUT,4560,4520,40.0,1.7,1.95,2.05,2.0,0.15,0.25,0.2,2,22.88,28,,,,4584.72,4583.84,EXPIRATION,326.0,330.0,20220118,15:59:00,1,0
20220118,14:05:00,PUT,4560,4520,40.0,1.4000000000000001,1.6,1.7,1.65,0.15,0.2,0.175,2,22.88,30,,,,4586.62,4586.24,EXPIRATION,266.0,270.0,20220118,15:59:00,1,0
20220118,14:10:00,PUT,4560,4520,40.0,1.35,1.55,1.65,1.6,0.1,0.2,0.15,2,22.88,30,,,,4587.62,4587.17,EXPIRATION,256.0,260.0,20220118,15:59:00,1,0
20220118,14:15:00,PUT,4560,4520,40.0,1.55,1.75,1.85,1.8,0.1,0.2,0.15,2,22.88,28,,,,4588.07,4586.93,EXPIRATION,296.0,300.0,20220118,15:59:00,1,0
20220118,14:30:00,PUT,4560,4520,40.0,1.2000000000000002,1.35,1.45,1.4,0.05,0.15,0.1,2,22.88,30,,,,4587.13,4587.4,EXPIRATION,226.00000000000003,230.00000000000003,20220118,15:59:00,1,0
20220119,14:10:00,PUT,4540,4500,40.0,1.3,1.55,1.7,1.625,0.15,0.25,0.2,2,23.89,30,,,,4573.86,4574.84,PER_POS_SL,-403.99999999999994,200.0,20220119,15:54:00,0,1
20220119,14:15:00,PUT,4535,4495,40.0,1.2,1.4,1.5,1.45,0.15,0.2,0.175,2,23.89,32,,,,4570.65,4572.45,PER_POS_SL,-324.0,200.0,20220119,15:57:00,0,1
20220119,14:25:00,PUT,4535,4495,40.0,1.25,1.45,1.55,1.5,0.1,0.2,0.15,2,23.89,28,,,,4565.82,4566.7,PER_POS_SL,-313.99999999999994,210.0,20220119,15:57:00,0,1
20220119,14:35:00,PUT,4535,4495,40.0,1.35,1.55,1.75,1.65,0.1,0.2,0.15,2,23.89,29,,,,4562.13,4563.03,PER_POS_SL,-304.0,230.00000000000003,20220119,15:58:00,0,1
20220119,14:40:00,PUT,4535,4495,40.0,1.3,1.45,1.55,1.5,0.1,0.15,0.125,2,23.89,28,,,,4562.48,4563.07,PER_POS_SL,-314.0,220.00000000000003,20220119,15:58:00,0,1
20220121,14:25:00,PUT,4400,4360,40.0,1.5,1.9,2.05,1.975,0.3,0.4,0.35,2,29.37,38,,,,4439.26,4439.93,PER_POS_SL,-463.99999999999994,0.0,20220121,14:29:00,0,1
20220121,14:15:00,PUT,4395,4355,40.0,1.4500000000000002,1.85,2.05,1.95,0.3,0.4,0.35,2,29.37,48,,,,4439.55,4440.33,PER_POS_SL,-444.00000000000006,10.000000000000053,20220121,14:36:00,0,1
20220121,14:10:00,PUT,4390,4350,40.0,1.25,1.65,1.8,1.725,0.3,0.4,0.35,2,29.37,49,,,,4440.24,4441.39,PER_POS_SL,-414.00000000000006,29.999999999999982,20220121,14:58:00,0,1
20220121,14:20:00,PUT,4390,4350,40.0,1.2000000000000002,1.55,1.65,1.6,0.25,0.35,0.3,2,29.37,48,,,,4439.74,4439.2,PER_POS_SL,-424.0,20.000000000000018,20220121,14:58:00,0,1
20220121,14:00:00,PUT,4380,4340,40.0,1.2000000000000002,1.6,1.75,1.675,0.3,0.4,0.35,2,29.37,59,,,,4441.61,4442.81,STOP_LOSS,-173.99999999999994,100.00000000000004,20220121,14:58:00,0,1
20220121,14:05:00,PUT,4390,4350,40.0,1.35,1.75,1.9,1.825,0.3,0.4,0.35,2,29.37,53,,,,4440.69,4441.3,STOP_LOSS,-394.00000000000006,50.0,20220121,14:58:00,0,1
20220121,14:40:00,PUT,4390,4350,40.0,1.5,1.8,1.95,1.875,0.2,0.3,0.25,2,29.37,44,,,,4430.29,4431.73,STOP_LOSS,-364.00000000000006,0.0,20220121,14:58:00,0,1
20220121,14:50:00,PUT,4390,4350,40.0,1.35,1.6,1.75,1.675,0.15,0.25,0.2,2,29.37,39,,,,4430.97,4430.05,STOP_LOSS,-394.00000000000006,0.0,20220121,14:58:00,0,1
