date,action,reason,pred_range,regime,outcome,spot,spot_close,otm_distance,put_short,call_short,credit,put_credit,call_credit,exit_val,pnl,exit_time,actual_range
20220601,SKIP,regime=DANGER,0.019771064437519338,DANGER,,,,,,,,,,,,,
20220602,SKIP,regime=DANGER,0.02450756593408426,DANGER,,,,,,,,,,,,,
20220603,SKIP,regime=DANGER,0.022658243715261688,DANGER,,,,,,,,,,,,,
20220606,SKIP,regime=DANGER,0.020472862940366616,DANGER,,,,,,,,,,,,,
20220607,SKIP,regime=DANGER,0.01734519440622239,DANGER,,,,,,,,,,,,,
20220608,SKIP,regime=DANGER,0.018134384912762976,DANGER,,,,,,,,,,,,,
20220609,SKIP,regime=DANGER,0.018985685303729894,DANGER,,,,,,,,,,,,,
20220610,SKIP,regime=DANGER,0.024045942497715096,DANGER,,,,,,,,,,,,,
20220613,SKIP,regime=DANGER,0.026443815187618014,DANGER,,,,,,,,,,,,,
20220614,SKIP,regime=DANGER,0.02404589702483819,DANGER,,,,,,,,,,,,,
20220615,SKIP,regime=DANGER,0.025217907731257764,DANGER,,,,,,,,,,,,,
20220616,SKIP,regime=DANGER,0.030790761374376915,DANGER,,,,,,,,,,,,,
20220617,SKIP,regime=DANGER,0.03440487392338669,DANGER,,,,,,,,,,,,,
20220621,SKIP,regime=DANGER,0.029851768614592093,DANGER,,,,,,,,,,,,,
20220622,SKIP,regime=DANGER,0.020873791085198663,DANGER,,,,,,,,,,,,,
20220623,SKIP,regime=DANGER,0.027089534421910155,DANGER,,,,,,,,,,,,,
20220624,SKIP,regime=DANGER,0.021701796024283272,DANGER,,,,,,,,,,,,,
20220627,SKIP,regime=DANGER,0.018897408935705136,DANGER,,,,,,,,,,,,,
20220628,SKIP,regime=DANGER,0.024417714518636086,DANGER,,,,,,,,,,,,,
20220629,SKIP,regime=DANGER,0.02730082071210278,DANGER,,,,,,,,,,,,,
20220630,SKIP,regime=DANGER,0.022918392757005097,DANGER,,,,,,,,,,,,,
20220701,SKIP,regime=DANGER,0.029800828475844556,DANGER,,,,,,,,,,,,,
20220705,SKIP,regime=DANGER,0.02396484557413851,DANGER,,,,,,,,,,,,,
20220706,SKIP,regime=DANGER,0.023651619136506815,DANGER,,,,,,,,,,,,,
20220707,SKIP,regime=DANGER,0.02333690911595645,DANGER,,,,,,,,,,,,,
20220708,SKIP,regime=DANGER,0.019953125645285265,DANGER,,,,,,,,,,,,,
20220711,SKIP,regime=DANGER,0.019412933033045705,DANGER,,,,,,,,,,,,,
20220712,SKIP,regime=DANGER,0.017541054902990325,DANGER,,,,,,,,,,,,,
20220713,SKIP,regime=DANGER,0.023446969826245438,DANGER,,,,,,,,,,,,,
20220714,SKIP,regime=DANGER,0.027038996834028634,DANGER,,,,,,,,,,,,,
20220715,SKIP,regime=DANGER,0.023440016834326893,DANGER,,,,,,,,,,,,,
20220718,SKIP,regime=VOLATILE,0.015859965570370678,VOLATILE,,,,,,,,,,,,,
20220719,SKIP,regime=DANGER,0.017254084192391387,DANGER,,,,,,,,,,,,,
20220720,SKIP,regime=NORMAL,0.013304060726423619,NORMAL,,,,,,,,,,,,,
20220721,SKIP,regime=VOLATILE,0.014176913390458354,VOLATILE,,,,,,,,,,,,,
20220722,SKIP,regime=VOLATILE,0.011889358880943824,VOLATILE,,,,,,,,,,,,,
20220725,SKIP,regime=NORMAL,0.015410118488713263,NORMAL,,,,,,,,,,,,,
20220726,SKIP,regime=NORMAL,0.014292054589086008,NORMAL,,,,,,,,,,,,,
20220727,SKIP,regime=DANGER,0.02386838969731283,DANGER,,,,,,,,,,,,,
20220728,SKIP,regime=NORMAL,0.012250395246741493,NORMAL,,,,,,,,,,,,,
20220729,SKIP,regime=NORMAL,0.012738992452678368,NORMAL,,,,,,,,,,,,,
20220801,SKIP,regime=VOLATILE,0.013340159085576456,VOLATILE,,,,,,,,,,,,,
20220802,SKIP,regime=DANGER,0.015135510869217194,DANGER,,,,,,,,,,,,,
20220803,SKIP,regime=NORMAL,0.014575244761615761,NORMAL,,,,,,,,,,,,,
20220804,SKIP,regime=NORMAL,0.012470752613466647,NORMAL,,,,,,,,,,,,,
20220805,SKIP,regime=NORMAL,0.01289658301069182,NORMAL,,,,,,,,,,,,,
20220808,SKIP,regime=NORMAL,0.011221039491765013,NORMAL,,,,,,,,,,,,,
20220809,SKIP,regime=NORMAL,0.013254299388847472,NORMAL,,,,,,,,,,,,,
20220810,SKIP,regime=NORMAL,0.012238565879334386,NORMAL,,,,,,,,,,,,,
20220811,SKIP,regime=NORMAL,0.009589681850656935,NORMAL,,,,,,,,,,,,,
20220812,SKIP,regime=NORMAL,0.011889102840142189,NORMAL,,,,,,,,,,,,,
20220815,SKIP,regime=NORMAL,0.009803473360460044,NORMAL,,,,,,,,,,,,,
20220816,SKIP,regime=NORMAL,0.012434780966977045,NORMAL,,,,,,,,,,,,,
20220817,SKIP,regime=NORMAL,0.011035667965807981,NORMAL,,,,,,,,,,,,,
20220818,SKIP,regime=NORMAL,0.011778680041076925,NORMAL,,,,,,,,,,,,,
20220819,SKIP,regime=NORMAL,0.012203458125148727,NORMAL,,,,,,,,,,,,,
20220822,SKIP,regime=VOLATILE,0.01340292744430601,VOLATILE,,,,,,,,,,,,,
20220823,SKIP,regime=DANGER,0.016952228224244224,DANGER,,,,,,,,,,,,,
20220824,SKIP,regime=NORMAL,0.012873412622162444,NORMAL,,,,,,,,,,,,,
20220825,SKIP,regime=NORMAL,0.0123208717594892,NORMAL,,,,,,,,,,,,,
20220826,SKIP,regime=DANGER,0.017230575105452152,DANGER,,,,,,,,,,,,,
20220829,SKIP,regime=DANGER,0.025775899046192315,DANGER,,,,,,,,,,,,,
20220830,SKIP,regime=DANGER,0.02571028753884575,DANGER,,,,,,,,,,,,,
20220831,SKIP,regime=DANGER,0.018220561606780306,DANGER,,,,,,,,,,,,,
20220901,SKIP,regime=DANGER,0.021987834462584656,DANGER,,,,,,,,,,,,,
20220902,SKIP,regime=DANGER,0.02224546400268388,DANGER,,,,,,,,,,,,,
20220906,SKIP,regime=DANGER,0.02461807959268235,DANGER,,,,,,,,,,,,,
20220907,SKIP,regime=DANGER,0.027706130479976103,DANGER,,,,,,,,,,,,,
20220908,SKIP,regime=VOLATILE,0.017091458890090398,VOLATILE,,,,,,,,,,,,,
20220909,SKIP,regime=VOLATILE,0.015948627109526842,VOLATILE,,,,,,,,,,,,,
20220912,SKIP,regime=DANGER,0.016209811590388198,DANGER,,,,,,,,,,,,,
20220913,SKIP,regime=DANGER,0.018966920122776107,DANGER,,,,,,,,,,,,,
20220914,SKIP,regime=DANGER,0.02244973625004868,DANGER,,,,,,,,,,,,,
20220915,SKIP,regime=DANGER,0.023444912312071953,DANGER,,,,,,,,,,,,,
20220916,SKIP,regime=DANGER,0.024216780684486777,DANGER,,,,,,,,,,,,,
20220919,SKIP,regime=DANGER,0.02281651344289586,DANGER,,,,,,,,,,,,,
20220920,SKIP,regime=DANGER,0.022959012561866433,DANGER,,,,,,,,,,,,,
20220921,SKIP,regime=DANGER,0.02567197386245235,DANGER,,,,,,,,,,,,,
20220922,SKIP,regime=DANGER,0.025817635772433303,DANGER,,,,,,,,,,,,,
20220923,SKIP,regime=DANGER,0.03427235901562302,DANGER,,,,,,,,,,,,,
20220926,SKIP,regime=DANGER,0.027192129940560368,DANGER,,,,,,,,,,,,,
20220927,SKIP,regime=DANGER,0.034395441231105314,DANGER,,,,,,,,,,,,,
20220928,SKIP,regime=DANGER,0.03335986259330108,DANGER,,,,,,,,,,,,,
20220929,SKIP,regime=DANGER,0.019121267906205986,DANGER,,,,,,,,,,,,,
20220930,SKIP,regime=DANGER,0.03369049448577428,DANGER,,,,,,,,,,,,,
20221003,SKIP,regime=DANGER,0.030453850155125195,DANGER,,,,,,,,,,,,,
20221004,SKIP,regime=VOLATILE,0.016755787685408908,VOLATILE,,,,,,,,,,,,,
20221005,SKIP,regime=VOLATILE,0.017856432241849792,VOLATILE,,,,,,,,,,,,,
20221006,SKIP,regime=DANGER,0.02141736000018675,DANGER,,,,,,,,,,,,,
20221007,SKIP,regime=DANGER,0.025000777108048537,DANGER,,,,,,,,,,,,,
20221010,SKIP,regime=DANGER,0.027874291460086593,DANGER,,,,,,,,,,,,,
20221011,SKIP,regime=DANGER,0.03272241035973187,DANGER,,,,,,,,,,,,,
20221012,SKIP,regime=DANGER,0.0355009540933121,DANGER,,,,,,,,,,,,,
20221013,SKIP,regime=DANGER,0.028117538959384607,DANGER,,,,,,,,,,,,,
20221014,SKIP,regime=DANGER,0.025287737337189697,DANGER,,,,,,,,,,,,,
20221017,SKIP,regime=DANGER,0.026501863480322043,DANGER,,,,,,,,,,,,,
20221018,SKIP,regime=DANGER,0.021128385982881307,DANGER,,,,,,,,,,,,,
20221019,SKIP,regime=DANGER,0.02738932071784058,DANGER,,,,,,,,,,,,,
20221020,SKIP,regime=DANGER,0.022601261302918615,DANGER,,,,,,,,,,,,,
20221021,SKIP,regime=DANGER,0.0283994749319765,DANGER,,,,,,,,,,,,,
20221024,SKIP,regime=DANGER,0.020252994361730888,DANGER,,,,,,,,,,,,,
20221025,SKIP,regime=DANGER,0.02106876314099637,DANGER,,,,,,,,,,,,,
20221026,SKIP,regime=DANGER,0.020282908977792075,DANGER,,,,,,,,,,,,,
20221027,SKIP,regime=DANGER,0.019698029142439212,DANGER,,,,,,,,,,,,,
20221028,SKIP,regime=DANGER,0.0201920029800599,DANGER,,,,,,,,,,,,,
20221031,SKIP,regime=NORMAL,0.01340467502885996,NORMAL,,,,,,,,,,,,,
20221101,SKIP,regime=DANGER,0.01558291346897692,DANGER,,,,,,,,,,,,,
20221102,SKIP,regime=DANGER,0.026079026429370284,DANGER,,,,,,,,,,,,,
20221103,SKIP,regime=DANGER,0.0308740531762677,DANGER,,,,,,,,,,,,,
20221104,SKIP,regime=DANGER,0.024159113439300023,DANGER,,,,,,,,,,,,,
20221107,SKIP,regime=DANGER,0.019933649979619293,DANGER,,,,,,,,,,,,,
20221108,SKIP,regime=VOLATILE,0.02014945717184727,VOLATILE,,,,,,,,,,,,,
20221109,SKIP,regime=DANGER,0.02189347839731494,DANGER,,,,,,,,,,,,,
20221110,SKIP,regime=DANGER,0.025166807277966382,DANGER,,,,,,,,,,,,,
20221111,SKIP,regime=NORMAL,0.013908424494516031,NORMAL,,,,,,,,,,,,,
20221114,SKIP,regime=DANGER,0.0156024542718356,DANGER,,,,,,,,,,,,,
20221115,SKIP,regime=DANGER,0.016522632441424635,DANGER,,,,,,,,,,,,,
20221116,SKIP,regime=DANGER,0.017886929810856118,DANGER,,,,,,,,,,,,,
20221117,SKIP,regime=NORMAL,0.014230303518439298,NORMAL,,,,,,,,,,,,,
20221118,SKIP,regime=VOLATILE,0.01719189534135414,VOLATILE,,,,,,,,,,,,,
20221121,SKIP,regime=NORMAL,0.01413897056610909,NORMAL,,,,,,,,,,,,,
20221122,SKIP,regime=NORMAL,0.012644199246824176,NORMAL,,,,,,,,,,,,,
20221123,SKIP,regime=NORMAL,0.01150567288119417,NORMAL,,,,,,,,,,,,,
20221125,SKIP,regime=NORMAL,0.01216803981186766,NORMAL,,,,,,,,,,,,,
20221128,SKIP,regime=NORMAL,0.0111187879019028,NORMAL,,,,,,,,,,,,,
20221129,SKIP,regime=NORMAL,0.01264655087133288,NORMAL,,,,,,,,,,,,,
20221130,SKIP,regime=NORMAL,0.014064404247617754,NORMAL,,,,,,,,,,,,,
20221201,SKIP,regime=NORMAL,0.013651133686298392,NORMAL,,,,,,,,,,,,,
20221202,SKIP,regime=DANGER,0.021365546999653054,DANGER,,,,,,,,,,,,,
20221205,SKIP,regime=NORMAL,0.013231319692377544,NORMAL,,,,,,,,,,,,,
20221206,SKIP,regime=DANGER,0.013944105995424175,DANGER,,,,,,,,,,,,,
20221207,SKIP,regime=DANGER,0.021937066535852985,DANGER,,,,,,,,,,,,,
20221208,SKIP,regime=NORMAL,0.014772249262976793,NORMAL,,,,,,,,,,,,,
20221209,SKIP,regime=DANGER,0.016193998098791428,DANGER,,,,,,,,,,,,,
20221212,SKIP,regime=VOLATILE,0.012917588231864556,VOLATILE,,,,,,,,,,,,,
20221213,SKIP,regime=DANGER,0.026805699513687282,DANGER,,,,,,,,,,,,,
20221214,SKIP,regime=DANGER,0.02783752046700961,DANGER,,,,,,,,,,,,,
20221215,SKIP,regime=DANGER,0.023171017565704638,DANGER,,,,,,,,,,,,,
20221216,SKIP,regime=DANGER,0.027287749828932475,DANGER,,,,,,,,,,,,,
20221219,SKIP,regime=DANGER,0.022083591915885617,DANGER,,,,,,,,,,,,,
20221220,SKIP,regime=DANGER,0.019440735839918667,DANGER,,,,,,,,,,,,,
20221221,SKIP,regime=DANGER,0.016116017363106302,DANGER,,,,,,,,,,,,,
20221222,SKIP,regime=NORMAL,0.012063993479213338,NORMAL,,,,,,,,,,,,,
20221223,SKIP,regime=DANGER,0.021218077327884548,DANGER,,,,,,,,,,,,,
20221227,SKIP,regime=VOLATILE,0.014818135195700473,VOLATILE,,,,,,,,,,,,,
20221228,SKIP,regime=DANGER,0.016639220523073983,DANGER,,,,,,,,,,,,,
20221229,SKIP,regime=DANGER,0.018892882985805392,DANGER,,,,,,,,,,,,,
20221230,SKIP,regime=VOLATILE,0.015005300984416646,VOLATILE,,,,,,,,,,,,,
20230103,SKIP,regime=DANGER,0.017560669732359445,DANGER,,,,,,,,,,,,,
20230104,SKIP,regime=DANGER,0.021137812160761722,DANGER,,,,,,,,,,,,,
20230105,SKIP,regime=VOLATILE,0.016080209537680988,VOLATILE,,,,,,,,,,,,,
20230106,SKIP,regime=DANGER,0.023332459829138376,DANGER,,,,,,,,,,,,,
20230109,SKIP,regime=VOLATILE,0.014874664139305906,VOLATILE,,,,,,,,,,,,,
20230110,SKIP,regime=DANGER,0.016388896573471052,DANGER,,,,,,,,,,,,,
20230111,SKIP,regime=NORMAL,0.011962938280403398,NORMAL,,,,,,,,,,,,,
20230112,SKIP,regime=DANGER,0.018338786150177883,DANGER,,,,,,,,,,,,,
20230113,TRADE,,0.012492295120278779,CALM,WIN,3953.66,3998.63,50.0,3905.0,4005.0,1.6500000000000001,1.1,0.55,0.0,326.0,15:59,0.014209968186638324
20230117,SKIP,regime=NORMAL,0.011531666114126095,NORMAL,,,,,,,,,,,,,
20230118,SKIP,regime=NORMAL,0.012500880805993497,NORMAL,,,,,,,,,,,,,
20230119,SKIP,regime=NORMAL,0.014097514221081657,NORMAL,,,,,,,,,,,,,
20230120,SKIP,regime=NORMAL,0.01170139603168661,NORMAL,,,,,,,,,,,,,
20230123,SKIP,regime=NORMAL,0.011088836387632252,NORMAL,,,,,,,,,,,,,
20230124,SKIP,regime=NORMAL,0.012265688356410046,NORMAL,,,,,,,,,,,,,
20230125,SKIP,regime=NORMAL,0.013029485869381217,NORMAL,,,,,,,,,,,,,
20230126,SKIP,no_quotes,0.009107613771965629,CALM,,,,,,,,,,,,,
20230127,SKIP,regime=NORMAL,0.012154222711611406,NORMAL,,,,,,,,,,,,,
20230130,SKIP,regime=NORMAL,0.00991720080463253,NORMAL,,,,,,,,,,,,,
20230131,SKIP,regime=VOLATILE,0.014249182962882712,VOLATILE,,,,,,,,,,,,,
20230201,SKIP,regime=DANGER,0.0270965254057824,DANGER,,,,,,,,,,,,,
20230202,SKIP,regime=NORMAL,0.011993920621944444,NORMAL,,,,,,,,,,,,,
20230203,SKIP,regime=VOLATILE,0.012538745307831395,VOLATILE,,,,,,,,,,,,,
20230206,SKIP,regime=NORMAL,0.010600743313633842,NORMAL,,,,,,,,,,,,,
20230207,SKIP,regime=NORMAL,0.013255916529864051,NORMAL,,,,,,,,,,,,,
20230208,SKIP,regime=NORMAL,0.009345962425247024,NORMAL,,,,,,,,,,,,,
20230209,SKIP,regime=NORMAL,0.013048861737602514,NORMAL,,,,,,,,,,,,,
20230210,SKIP,regime=NORMAL,0.013389594958228416,NORMAL,,,,,,,,,,,,,
20230213,SKIP,regime=NORMAL,0.013374980053438533,NORMAL,,,,,,,,,,,,,
20230214,SKIP,regime=NORMAL,0.014004802220227049,NORMAL,,,,,,,,,,,,,
20230215,SKIP,regime=NORMAL,0.010267762871117591,NORMAL,,,,,,,,,,,,,
20230216,SKIP,regime=NORMAL,0.010631995157800904,NORMAL,,,,,,,,,,,,,
20230217,SKIP,regime=NORMAL,0.013919785949142414,NORMAL,,,,,,,,,,,,,
20230221,SKIP,regime=NORMAL,0.012116114143290436,NORMAL,,,,,,,,,,,,,
20230222,SKIP,regime=VOLATILE,0.014097912623031107,VOLATILE,,,,,,,,,,,,,
20230223,SKIP,regime=VOLATILE,0.01330646671092244,VOLATILE,,,,,,,,,,,,,
20230224,SKIP,regime=VOLATILE,0.015705390950314813,VOLATILE,,,,,,,,,,,,,
20230227,SKIP,regime=DANGER,0.015996249649588037,DANGER,,,,,,,,,,,,,
20230228,SKIP,regime=NORMAL,0.014650042015148794,NORMAL,,,,,,,,,,,,,
20230301,SKIP,regime=VOLATILE,0.016871678226692877,VOLATILE,,,,,,,,,,,,,
20230302,SKIP,regime=DANGER,0.015606147833673518,DANGER,,,,,,,,,,,,,
20230303,SKIP,regime=VOLATILE,0.01304569624292613,VOLATILE,,,,,,,,,,,,,
20230306,SKIP,regime=NORMAL,0.011466775359328562,NORMAL,,,,,,,,,,,,,
20230307,SKIP,regime=NORMAL,0.010852940129961932,NORMAL,,,,,,,,,,,,,
20230308,SKIP,regime=DANGER,0.016296383121752887,DANGER,,,,,,,,,,,,,
20230309,SKIP,regime=VOLATILE,0.013419094442082433,VOLATILE,,,,,,,,,,,,,
20230310,SKIP,regime=DANGER,0.021296256268809762,DANGER,,,,,,,,,,,,,
20230313,SKIP,regime=DANGER,0.02232668320966128,DANGER,,,,,,,,,,,,,
20230314,SKIP,regime=DANGER,0.022969796897662258,DANGER,,,,,,,,,,,,,
20230315,SKIP,regime=DANGER,0.023233635087168743,DANGER,,,,,,,,,,,,,
20230316,SKIP,regime=DANGER,0.02324014354957204,DANGER,,,,,,,,,,,,,
20230317,SKIP,regime=DANGER,0.02113128253881612,DANGER,,,,,,,,,,,,,
20230320,SKIP,regime=DANGER,0.02142743000684536,DANGER,,,,,,,,,,,,,
20230321,SKIP,regime=NORMAL,0.012833335359547693,NORMAL,,,,,,,,,,,,,
20230322,SKIP,regime=DANGER,0.026209029764772233,DANGER,,,,,,,,,,,,,
20230323,SKIP,regime=DANGER,0.020087476502534184,DANGER,,,,,,,,,,,,,
20230324,SKIP,regime=DANGER,0.02025413048271774,DANGER,,,,,,,,,,,,,
20230327,SKIP,regime=NORMAL,0.01180142913255544,NORMAL,,,,,,,,,,,,,
20230328,SKIP,regime=DANGER,0.014394634968091053,DANGER,,,,,,,,,,,,,
20230329,SKIP,regime=NORMAL,0.013605579739461488,NORMAL,,,,,,,,,,,,,
20230330,SKIP,regime=NORMAL,0.008847003731348098,NORMAL,,,,,,,,,,,,,
20230331,SKIP,regime=NORMAL,0.0087862724783243,NORMAL,,,,,,,,,,,,,
20230403,SKIP,regime=VOLATILE,0.011184288991287011,VOLATILE,,,,,,,,,,,,,
20230404,SKIP,regime=NORMAL,0.01102016287001942,NORMAL,,,,,,,,,,,,,
20230405,SKIP,regime=NORMAL,0.012298963361873616,NORMAL,,,,,,,,,,,,,
20230406,SKIP,regime=NORMAL,0.012796682083372691,NORMAL,,,,,,,,,,,,,
20230410,SKIP,regime=NORMAL,0.009390937049989218,NORMAL,,,,,,,,,,,,,
20230411,SKIP,regime=NORMAL,0.011319437052808932,NORMAL,,,,,,,,,,,,,
20230412,SKIP,regime=NORMAL,0.009808791892153623,NORMAL,,,,,,,,,,,,,
20230413,SKIP,regime=NORMAL,0.012107913226895067,NORMAL,,,,,,,,,,,,,
20230414,SKIP,regime=NORMAL,0.008750499961920065,NORMAL,,,,,,,,,,,,,
20230417,SKIP,regime=NORMAL,0.011838230845156306,NORMAL,,,,,,,,,,,,,
20230418,SKIP,regime=NORMAL,0.009415991789456358,NORMAL,,,,,,,,,,,,,
20230419,SKIP,regime=NORMAL,0.009819689928006756,NORMAL,,,,,,,,,,,,,
20230420,SKIP,regime=NORMAL,0.009885026216721726,NORMAL,,,,,,,,,,,,,
20230421,SKIP,regime=NORMAL,0.009338364572151682,NORMAL,,,,,,,,,,,,,
20230424,SKIP,regime=NORMAL,0.009688800927519827,NORMAL,,,,,,,,,,,,,
20230425,SKIP,put_credit_too_low,0.008555800182044986,CALM,,,,,,,,,,,,,
20230426,SKIP,regime=NORMAL,0.013149929921693986,NORMAL,,,,,,,,,,,,,
20230427,SKIP,regime=VOLATILE,0.013245496389307726,VOLATILE,,,,,,,,,,,,,
20230428,SKIP,regime=NORMAL,0.009498212357904311,NORMAL,,,,,,,,,,,,,
20230501,SKIP,regime=NORMAL,0.008606813021205723,NORMAL,,,,,,,,,,,,,
20230502,SKIP,regime=NORMAL,0.009249313185124175,NORMAL,,,,,,,,,,,,,
20230503,SKIP,regime=DANGER,0.024465276852955933,DANGER,,,,,,,,,,,,,
20230504,SKIP,regime=NORMAL,0.012552697471970154,NORMAL,,,,,,,,,,,,,
20230505,SKIP,regime=VOLATILE,0.013505379812733484,VOLATILE,,,,,,,,,,,,,
20230508,SKIP,regime=NORMAL,0.009863793336750767,NORMAL,,,,,,,,,,,,,
20230509,SKIP,call_credit_too_low,0.009528494105883425,CALM,,,,,,,,,,,,,
20230510,SKIP,regime=NORMAL,0.01010945228662336,NORMAL,,,,,,,,,,,,,
20230511,TRADE,,0.010713300113247573,CALM,WIN,4122.12,4130.01,45.0,4075.0,4165.0,1.0499999999999998,0.6,0.44999999999999996,0.0,205.99999999999997,15:59,0.005689408166031068
20230512,SKIP,regime=NORMAL,0.009971558748169535,NORMAL,,,,,,,,,,,,,
20230515,SKIP,regime=NORMAL,0.010037595312466431,NORMAL,,,,,,,,,,,,,
20230516,SKIP,regime=NORMAL,0.010211540284875944,NORMAL,,,,,,,,,,,,,
20230517,SKIP,put_credit_too_low,0.009543443617129131,CALM,,,,,,,,,,,,,
20230518,SKIP,call_credit_too_low,0.0090801372618253,CALM,,,,,,,,,,,,,
20230519,SKIP,regime=NORMAL,0.008332060106011651,NORMAL,,,,,,,,,,,,,
20230522,TRADE,,0.009122564996180577,CALM,WIN,4201.4,4192.7,40.0,4160.0,4240.0,1.0,0.6,0.4,0.0,196.0,15:59,0.007048807143300285
20230523,SKIP,call_credit_too_low,0.009011077021412474,CALM,,,,,,,,,,,,,
20230524,SKIP,regime=NORMAL,0.010305065353630835,NORMAL,,,,,,,,,,,,,
20230525,SKIP,regime=NORMAL,0.011426041934618797,NORMAL,,,,,,,,,,,,,
20230526,TRADE,,0.008755895154196768,CALM,WIN,4177.81,4205.01,35.0,4145.0,4215.0,2.55,1.8499999999999999,0.7,0.0,505.99999999999994,15:59,0.013644806744687413
20230530,TRADE,,0.007956702815246729,CALM,WIN,4221.58,4205.47,35.0,4185.0,4255.0,1.9500000000000002,1.0,0.9500000000000001,0.0,386.00000000000006,15:59,0.009208107487857003
20230531,SKIP,put_credit_too_low,0.011331577733518738,CALM,,,,,,,,,,,,,
20230601,SKIP,regime=NORMAL,0.010059650057283666,NORMAL,,,,,,,,,,,,,
20230602,SKIP,regime=NORMAL,0.00818721919527048,NORMAL,,,,,,,,,,,,,
20230605,SKIP,regime=NORMAL,0.0087544804104521,NORMAL,,,,,,,,,,,,,
20230606,SKIP,regime=NORMAL,0.009609619099670542,NORMAL,,,,,,,,,,,,,
20230607,TRADE,,0.007032779752596723,CALM,WIN,4296.17,4267.54,30.0,4265.0,4325.0,1.3,0.65,0.65,0.0,256.0,15:59,0.008220801919042616
20230608,SKIP,put_credit_too_low,0.009173483901462533,CALM,,,,,,,,,,,,,
20230609,SKIP,regime=NORMAL,0.007963441386041603,NORMAL,,,,,,,,,,,,,
20230612,SKIP,call_credit_too_low,0.008086792069896936,CALM,,,,,,,,,,,,,
20230613,SKIP,regime=NORMAL,0.008340134771654264,NORMAL,,,,,,,,,,,,,
20230614,SKIP,regime=VOLATILE,0.014083080278585437,VOLATILE,,,,,,,,,,,,,
20230615,SKIP,call_credit_too_low,0.009005359442894068,CALM,,,,,,,,,,,,,
20230616,SKIP,regime=NORMAL,0.009479132499259297,NORMAL,,,,,,,,,,,,,
20230620,SKIP,regime=NORMAL,0.010331550136220034,NORMAL,,,,,,,,,,,,,
20230621,SKIP,put_credit_too_low,0.008740003480047186,CALM,,,,,,,,,,,,,
20230622,SKIP,put_credit_too_low,0.00890404769323448,CALM,,,,,,,,,,,,,
20230623,TRADE,,0.006778216377923623,CALM,WIN,4344.72,4348.23,30.0,4315.0,4375.0,2.0,0.7999999999999999,1.2000000000000002,0.0,396.0,15:59,0.005789852026907547
20230626,SKIP,regime=NORMAL,0.009852873501560642,NORMAL,,,,,,,,,,,,,
20230627,SKIP,regime=NORMAL,0.009477925469717466,NORMAL,,,,,,,,,,,,,
20230628,SKIP,regime=NORMAL,0.008162530586532938,NORMAL,,,,,,,,,,,,,
20230629,TRADE,,0.007693876830504561,CALM,WIN,4378.75,4396.86,35.0,4345.0,4415.0,1.2,0.55,0.6499999999999999,0.0,236.0,15:59,0.006038939962605219
20230630,TRADE,,0.006330701839516737,CALM,WIN,4437.93,4449.81,30.0,4410.0,4470.0,2.05,1.2499999999999998,0.8,0.0,405.99999999999994,15:59,0.008149347419071817
20230703,SKIP,put_credit_too_low,0.006161106852892959,CALM,,,,,,,,,,,,,
20230705,TRADE,,0.006595503902917177,CALM,WIN,4447.28,4446.65,30.0,4415.0,4475.0,0.85,0.44999999999999996,0.4,0.0,166.0,15:59,0.003928375251010961
20230706,TRADE,,0.007621008261833101,CALM,WIN,4402.1,4411.41,35.0,4365.0,4435.0,1.5,0.7,0.8,0.0,296.0,15:59,0.008494964523291558
20230707,TRADE,,0.007590288131547927,CALM,WIN,4406.79,4398.76,35.0,4370.0,4440.0,1.0999999999999999,0.49999999999999994,0.6,0.0,215.99999999999997,15:59,0.00976038360419038
20230710,SKIP,put_credit_too_low,0.009627303659608585,CALM,,,,,,,,,,,,,
20230711,SKIP,regime=NORMAL,0.008962885307982,NORMAL,,,,,,,,,,,,,
20230712,TRADE,,0.006802549181058363,CALM,WIN,4478.62,4472.66,30.0,4450.0,4510.0,1.95,1.15,0.8,0.0,386.0,15:59,0.005620354142745039
20230713,SKIP,put_credit_too_low,0.007320519585538567,CALM,,,,,,,,,,,,,
20230714,SKIP,call_credit_too_low,0.006730849238351941,CALM,,,,,,,,,,,,,
20230717,SKIP,regime=NORMAL,0.008313035488243194,NORMAL,,,,,,,,,,,,,
