signal_date,trade_date,signal_mode,spx_close_signal,spx_close_exit,short_strike,long_strike,credit_received,spread_value_exit,raw_return,capped_return,pnl_earned,win,loss,equity_after,vix_level,variance_pct,rel_vol,rising_rocket,exhaustion_score,body_size,atr,rsi,stoch,gap_pct,cluster_count,dist_from_sma
20220103,20220105,dynamic,4796.59,4700.67,4805.0,4815.0,4.0,0,0.6667,0.66,394.0,1,0,100394.0,16.6,99.87,1.0,0.0,148.72,18.45,38.47,nan,99.9,nan,0,0.0
20220104,20220106,dynamic,4793.53,4696.05,4800.0,4810.0,4.0,0,0.6667,0.66,394.0,1,0,100788.0,16.91,43.43,1.0,-0.000319,69.79,10.98,41.41,0.0,58.5,0.1651,1,-0.000319
20220106,20220110,dynamic,4696.05,4670.29,4705.0,4715.0,4.0,0,0.6667,0.66,394.0,1,0,101182.0,19.61,46.12,1.0,-0.010673,76.39,2.66,58.71,0.0,16.8,-0.1549,3,-0.010673
20220107,20220111,dynamic,4677.02,4713.1,4685.0,4695.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,100580.0,18.76,31.59,1.0,-0.01178,56.35,20.64,56.01,0.0,9.2,0.0343,4,-0.01178
20220110,20220112,dynamic,4670.29,4726.43,4680.0,4690.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99978.0,19.4,96.99,1.0,-0.007907,146.86,14.95,62.47,0.0,37.2,-0.4635,3,-0.011026
20220111,20220113,dynamic,4713.1,4659.25,4720.0,4730.0,4.0,0,0.6667,0.66,394.0,1,0,100372.0,18.41,98.64,1.0,0.00462,145.73,43.96,64.38,25.3,55.4,-0.0246,2,-0.001681
20220112,20220114,dynamic,4726.43,4662.82,4735.0,4745.0,4.0,0,0.6667,0.66,394.0,1,0,100766.0,17.62,46.82,1.0,0.006356,72.7,2.16,61.6,30.8,61.0,0.3287,2,0.001
20220114,20220119,dynamic,4662.82,4532.89,4670.0,4680.0,4.0,0,0.6667,0.66,394.0,1,0,101160.0,19.19,95.41,1.0,-0.005027,143.86,24.83,63.7,23.6,34.1,-0.4563,2,-0.009928
20220124,20220126,dynamic,4410.5,4349.78,4420.0,4430.0,4.0,0,0.6667,0.66,394.0,1,0,101554.0,29.9,96.48,1.0,-0.015558,148.24,54.18,85.15,13.6,31.5,-0.9416,3,-0.048049
20220125,20220127,dynamic,4356.45,4326.5,4365.0,4375.0,4.0,0,0.6667,0.66,394.0,1,0,101948.0,31.16,55.96,1.0,-0.017939,92.17,10.19,90.83,12.5,23.3,-0.9944,2,-0.056193
20220126,20220128,dynamic,4349.78,4432.0,4355.0,4365.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,101346.0,31.96,30.3,1.0,-0.01128,54.42,58.65,94.42,14.6,24.2,1.1932,2,-0.054432
20220128,20220201,dynamic,4432.0,4546.35,4440.0,4450.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,100744.0,27.66,99.49,1.0,0.013018,144.61,95.81,105.88,29.6,39.8,0.224,2,-0.031663
20220131,20220202,dynamic,4515.45,4589.31,4525.0,4535.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,100142.0,24.83,98.6,1.0,0.027164,139.5,83.66,106.46,38.6,55.6,-0.0047,2,-0.012768
20220201,20220203,dynamic,4546.35,4477.3,4555.0,4565.0,4.0,0,0.6667,0.66,394.0,1,0,100536.0,21.96,93.82,1.0,0.025335,133.3,26.78,105.82,37.5,61.5,0.0912,1,-0.003285
20220202,20220204,dynamic,4589.31,4500.61,4595.0,4605.0,4.0,0,0.6667,0.66,394.0,1,0,100930.0,22.09,88.23,1.0,0.02396,125.86,22.92,106.46,40.1,70.3,0.4408,0,0.00839
20220204,20220208,dynamic,4500.61,4521.48,4510.0,4520.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,100328.0,23.22,55.71,1.0,-0.005567,88.41,17.82,110.95,39.3,67.9,0.1226,1,-0.006528
20220207,20220209,dynamic,4483.92,4587.21,4490.0,4500.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99726.0,22.86,24.71,1.0,-0.007872,45.65,21.83,107.82,43.2,67.2,0.1142,2,-0.008098
20220208,20220210,dynamic,4521.48,4504.06,4530.0,4540.0,4.0,0,0.6667,0.66,394.0,1,0,100120.0,21.44,85.07,1.0,0.001541,127.58,41.46,106.72,49.2,78.8,-0.087,2,0.001859
20220209,20220211,dynamic,4587.21,4418.49,4595.0,4605.0,4.0,0,0.6667,0.66,394.0,1,0,100514.0,19.96,93.45,1.0,0.016195,135.29,40.21,102.75,57.5,97.8,0.5644,1,0.017843
20220214,20220216,dynamic,4401.55,4475.1,4410.0,4420.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,99912.0,28.33,59.81,1.0,-0.018947,97.82,11.06,93.69,53.1,36.0,-0.1331,2,-0.01544
20220215,20220217,dynamic,4471.0,4380.04,4480.0,4490.0,4.0,0,0.6667,0.66,394.0,1,0,100306.0,25.7,95.93,1.0,-0.00122,143.54,41.72,88.17,57.6,59.0,0.63,2,0.001286
20220216,20220218,dynamic,4475.1,4348.97,4485.0,4495.0,4.0,0,0.6667,0.66,394.0,1,0,100700.0,24.29,75.86,1.0,0.004728,113.81,19.35,83.93,59.6,60.3,-0.3411,1,0.002853
20220218,20220223,dynamic,4348.97,4225.62,4355.0,4365.0,4.0,0,0.6667,0.66,394.0,1,0,101094.0,27.75,32.28,1.0,-0.01503,58.21,35.6,78.61,38.3,8.1,0.1034,2,-0.023757
20220222,20220224,dynamic,4304.66,4288.65,4310.0,4320.0,4.0,0,0.6667,0.66,394.0,1,0,101488.0,28.81,39.52,1.0,-0.020768,69.92,28.08,80.62,33.4,11.4,-0.3732,3,-0.032554
20220224,20220228,dynamic,4288.65,4373.39,4295.0,4305.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,100886.0,30.32,96.62,1.0,-0.004858,145.5,132.88,89.91,36.8,36.6,-1.653,3,-0.034069
20220225,20220301,dynamic,4384.62,4306.19,4390.0,4400.0,4.0,0,0.6667,0.66,394.0,1,0,101280.0,27.59,99.27,1.0,0.017194,143.17,86.24,90.65,42.6,56.8,0.2269,2,-0.0131
20220228,20220302,dynamic,4373.39,4386.47,4380.0,4390.0,4.0,6.47,-0.4117,-0.4117,-249.0,0,1,101031.0,30.15,79.04,1.0,0.013441,115.88,19.22,92.32,42.9,54.4,-0.6945,1,-0.014978
20220301,20220303,dynamic,4306.19,4363.54,4315.0,4325.0,4.0,10.0,-1.0,-1.0,-602.0,0,1,100429.0,33.32,26.94,1.0,-0.002202,47.22,56.95,94.68,36.7,40.3,-0.2344,1,-0.027822
20220302,20220304,dynamic,4386.47,4328.87,4395.0,4405.0,4.0,0,0.6667,0.66,394.0,1,0,100823.0,30.74,80.98,1.0,0.008879,119.84,63.91,96.59,37.9,57.3,0.3802,1,-0.007907
20220303,20220307,dynamic,4363.54,4200.89,4370.0,4380.0,4.0,0,0.6667,0.66,394.0,1,0,101217.0,30.48,25.25,1.0,0.00016,44.2,37.77,94.2,40.8,60.5,0.3383,2,-0.010567
20220304,20220308,dynamic,4328.87,4170.62,4335.0,4345.0,4.0,0,0.6667,0.66,394.0,1,0,101611.0,31.98,76.81,1.0,-0.005244,117.87,13.25,90.89,43.7,57.1,-0.4909,2,-0.016774
20220309,20220311,dynamic,4277.86,4204.36,4285.0,4295.0,4.0,0,0.6667,0.66,394.0,1,0,102005.0,32.45,71.77,1.0,0.002227,108.77,54.76,104.06,38.9,47.8,1.2583,2,-0.018815
